English words/sentences,French words/sentences
Can cats really see in the dark?,Est-ce que les chats peuvent vraiment voir dans le noir ?
Can we move on to the next item?,Pouvons-nous passer à l'objet suivant ?
Can we rent a fishing boat here?,Pouvons-nous louer un bateau de pêche ici ?
Can we wait a little bit longer?,Pouvons-nous attendre un peu plus longtemps ?
Can you check the tire pressure?,Peux-tu vérifier la pression des pneus ?
Can you determine what happened?,Pouvez-vous déterminer ce qui s'est passé ?
Can you determine what happened?,Pouvez-vous déterminer ce qui est arrivé ?
Can you determine what happened?,Pouvez-vous déterminer ce qui a eu lieu ?
Can you determine what happened?,Peux-tu déterminer ce qui s'est passé ?
Can you determine what happened?,Peux-tu déterminer ce qui est arrivé ?
Can you determine what happened?,Peux-tu déterminer ce qui a eu lieu ?
Can you do some shopping for me?,Pouvez-vous me faire les courses ?
Can you drive me to the station?,Tu peux me conduire à la gare ?
Can you figure out this problem?,Peux-tu résoudre ce problème ?
Can you figure out this problem?,Pouvez-vous résoudre ce problème ?
Can you get Tom to a safe place?,Peux-tu emmener Tom dans un endroit sûr ?
Can you give me another example?,Pouvez-vous me fournir un autre exemple ?
Can you give me another example?,Peux-tu me fournir un autre exemple ?
Can you help me to learn French?,Peux-tu m'aider à apprendre le français ?
Can you hold on a little longer?,Pouvez-vous attendre un peu plus longtemps ?
Can you hold on a little longer?,Ne pouvez-vous rester un peu plus longtemps ?
Can you make sense of this poem?,Peux-tu décrypter ce poème ?
Can you name one of their songs?,Peux-tu citer une de leurs chansons ?
Can you please close the window?,"Peux-tu fermer la fenêtre, je te prie ?"
Can you please close the window?,"Pouvez-vous fermer la fenêtre, je vous prie ?"
Can you put the children to bed?,Peux-tu coucher les enfants ?
Can you recommend a good camera?,Pouvez-vous me recommander un bon appareil photo ?
Can you see anything over there?,Peux-tu voir quelque chose là-bas ?
Can you take Tom to the airport?,Peux-tu emmener Tom à l'aéroport ?
Can you take Tom to the airport?,Pouvez-vous emmener Tom à l'aéroport ?
Can you teach me how to do that?,Pouvez-vous m'enseigner comment faire cela ?
Can you teach me how to do that?,Peux-tu m'apprendre à faire ça ?
Carry her to the operating room.,Portez-la en salle d'opération.
Cars took the place of bicycles.,La voiture a remplacé la bicyclette.
Cars took the place of bicycles.,Les voitures ont pris la place des vélos.
Cash donations will be accepted.,Les dons en espèces seront acceptés.
Cats are smarter than you think.,Les chats sont plus malins que tu ne penses.
Cats are smarter than you think.,Les chats sont plus malins que vous ne pensez.
Cats are smarter than you think.,Les chats sont plus malins qu'on ne pense.
Children need to be disciplined.,Les enfants ont besoin d'être punis.
Children often ask me for money.,Les enfants me demandent souvent de l'argent.
Children often do stupid things.,Les enfants font souvent des choses stupides.
Children often do stupid things.,Les enfants font souvent des trucs stupides.
Christmas is a time for sharing.,Noël est un moment de partage.
Christmas is only two weeks off.,Noël n'est que dans deux semaines.
