English words/sentences,French words/sentences
We did what we were told.,Nous avons fait ce qu'on nous a dit.
We did what we were told.,Nous fîmes ce qu'on nous avait dit.
We didn't learn anything.,Nous n'avons rien appris.
We didn't look very long.,Nous n'avons pas regardé très longtemps.
We didn't stand a chance.,Nous n'avions aucune chance.
We didn't stay in Boston.,Nous ne sommes pas restés à Boston.
We didn't stay in Boston.,Nous ne sommes pas restées à Boston.
We didn't talk for years.,Nous n'avons pas parlé depuis des années.
We didn't wait that long.,Nous n'avons pas attendu si longtemps.
We discussed the problem.,Nous avons débattu sur le problème.
We do very good business.,Nous faisons de bonnes affaires.
We don't have a daughter.,Nous n'avons pas de fille.
We don't have any choice.,On n'a pas le choix.
We don't have any choice.,Nous n'avons pas le choix.
We don't have to do this.,Nous n'avons pas besoin de faire ceci.
We don't know each other.,Nous ne nous connaissons pas.
We don't know the lyrics.,Nous ne connaissons pas les paroles.
We don't know what it is.,Nous ne savons pas ce que c'est.
We don't need it anymore.,Nous n'en avons plus besoin.
We don't need it anymore.,Nous n'en avons plus l'usage.
We don't need that stuff.,Nous n'avons pas besoin de ces trucs.
We don't need your money.,Nous n'avons pas besoin de ton argent.
We don't really know Tom.,Nous ne connaissons pas vraiment Tom.
We don't sell fruit here.,Nous ne vendons pas de fruits ici.
We don't trust strangers.,Nous ne nous fions pas à des étrangers.
We don't want to be late.,Nous ne voulons pas être en retard.
We don't want to do this.,Nous ne voulons pas faire ceci.
We drank a lot of coffee.,Nous avons bu beaucoup de café.
We drove across the city.,Nous roulâmes à travers la ville.
We eat soup with a spoon.,Nous mangeons la soupe avec une cuillère.
We elected him president.,Nous l'avons élu président.
We elected him president.,Nous l'élûmes président.
We expect a lot from him.,Nous attendons beaucoup de lui.
We felt sympathy for her.,Nous éprouvions de la compassion à son endroit.
We felt sympathy for her.,Nous éprouvions de la compassion envers elle.
We get a lot of requests.,Nous avons beaucoup de requêtes.
We go to school to learn.,Nous allons à l'école pour apprendre.
We go to the same school.,Nous allons à la même école.
We got lost in the woods.,On s'est perdu dans les bois.
We grew closer every day.,Nous nous approchâmes chaque jour.
We had a storm yesterday.,"Nous avons essuyé une tempête, hier."
We had fun at Disneyland.,Nous nous sommes amusés à Disneyland.
We had lots of fun today.,On s'est beaucoup amusé aujourd'hui.
We had no drinking water.,Nous n'avions pas d'eau potable.
We had no drinking water.,Nous ne disposions pas d'eau potable.
We had snow this morning.,Nous avons eu de la neige ce matin.
We had some chicken soup.,Nous avons pris un peu de soupe de poulet.
We have a little problem.,Nous avons un petit problème.
We have a lot more to do.,Nous avons bien plus à faire.
We have a lot to discuss.,Nous avons beaucoup à discuter.
We have a tight schedule.,Nous avons un horaire serré.
We have medicine for you.,Nous avons un médicament pour vous.
We have medicine for you.,Nous avons un médicament pour toi.
We have no more in stock.,Nous n'en avons plus en stock.
We have no special plans.,On n'a rien de prévu de particulier.
We have run out of sugar.,Nous sommes tombés à court de sucre.
We have to do that today.,Nous devons le faire aujourd'hui.
We have to make a choice.,Nous devons faire un choix.
We have to start at once.,Nous devons commencer immédiatement.
We have to stay together.,Nous devons rester ensemble.
We have to take the risk.,Nous devons prendre le risque.
We have very little time.,On a très peu de temps.
We haven't got much time.,Nous n'avons pas beaucoup de temps.
We haven't yet succeeded.,Nous n'avons pas encore réussi.
We hope to do a good job.,Nous espérons faire un bon travail.
We hope to see you again.,Nous espérons vous revoir.
We hope to see you again.,On espère vous revoir.
We hope to see you again.,On espère te revoir.
We hope to see you again.,Nous espérons te revoir.
We import tea from India.,Nous importons le thé d'Inde.
We jumped into the river.,Nous avons sauté dans la rivière.
We just want to be happy.,On veut juste être heureux.
We just want to have fun.,On veut juste s'amuser.
We know that you're busy.,Nous savons que tu es occupé.
We know that you're sick.,Nous savons que tu es malade.
We leave in half an hour.,On part dans une demi-heure.
We live in a remote area.,Nous vivons dans une zone reculée.
We lost all of our money.,Nous avons perdu tout notre argent.
We love going on picnics.,Nous adorons aller à des pique-niques.
We made out like bandits.,Nous avons baisé comme des bandits.
We missed the last train.,Nous avons raté le dernier train.
We must alert the police.,Nous devons prévenir la gendarmerie.
We must assume the worst.,Nous devons supposer le pire.
We must follow the rules.,Nous devons suivre les règles.
We must leave right away.,Il nous faut partir sur-le-champ.
We must phone the police.,Nous devons appeler la police.
We must take that chance.,Nous devons saisir cette chance.
We need Tom's experience.,Nous avons besoin de l'expérience de Tom.
We need a signed receipt.,Il nous faut un reçu signé.
We need a signed receipt.,Nous avons besoin d'un reçu signé.
We need not have hurried.,Nous n'avions pas besoin de nous presser.
We need something to eat.,Nous avons besoin de quelque chose à manger.
We need to do this right.,Nous avons besoin de faire cela bien.
