English words/sentences,French words/sentences
The trouble is that my son does not want to go to school.,L'ennui est que mon fils ne veut pas aller à l'école.
The two runners reached the finish line at the same time.,Les deux coureurs ont fini la course en même temps.
The workers are complaining about the working conditions.,Les travailleurs se plaignent des conditions de travail.
There are beautiful flowers here and there in the garden.,Il y a de superbes fleurs ci et là dans la jardin.
There are lots of presents underneath the Christmas tree.,Il y a beaucoup de cadeaux sous le sapin.
There are many housewives who complain about high prices.,Il y a de nombreuses ménagères qui se plaignent des prix élevés.
There are three hundred applicants for only one position.,Il y a trois cents candidats pour un seul poste.
There is no need to take his advice if you don't want to.,Il n'est pas nécessaire de prendre conseil auprès de lui si tu ne veux pas.
There is no need to worry about shortages for the moment.,Ce n'est pas la peine de s'inquiéter de pénuries pour le moment.
There's a convenience store diagonally across the street.,"Il y a une épicerie de l'autre coté de la rue, en diagonale."
There's a convenience store diagonally across the street.,Il y a un commerce de proximité à l'opposé de la rue en diagonale.
There's a fine line between assertiveness and aggression.,La frontière est mince entre affirmation de soi et agression.
There's only one way to find out how to do that. Ask Tom.,Il n'y a qu'une façon de savoir comment faire cela. Demander à Tom.
"These flowers aren't only beautiful, but they smell nice.",Ces fleurs ne sont pas seulement belles mais sentent également très bon.
They kicked him out of the disco without any explanation.,Ils l'ont viré de la discothèque sans explication.
They slept in the car because they couldn't find a hotel.,Ils dormirent dans la voiture parce qu'ils ne purent trouver d'hôtel.
They slept in the car because they couldn't find a hotel.,Elles dormirent dans la voiture parce qu'elles ne purent trouver d'hôtel.
They slept in the car because they couldn't find a hotel.,Ils ont dormi dans la voiture parce qu'ils n'ont pu trouver d'hôtel.
They slept in the car because they couldn't find a hotel.,Elles ont dormi dans la voiture parce qu'elles n'ont pu trouver d'hôtel.
They'll stop at nothing to achieve their political goals.,Ils n'auront de cesse d'atteindre leurs objectifs politiques.
"This book has a number of mistakes, but it's interesting.",Ce livre comporte nombre d'erreurs mais est intéressant.
This company is indifferent to the safety of its workers.,Cette entreprise est indifférente à la sécurité de ses employés.
This form looks kind of complicated. Help me fill it out.,Ce formulaire a l'air bien compliqué. Aide-moi à le remplir.
This is the last time I'll ask you to do anything for me.,C'est la dernière fois que je te demande de faire quelque chose pour moi.
This problem is not so difficult that you can't solve it.,Ce problème n'est pas si difficile au point de ne pas pouvoir le résoudre.
This program is brought to you by the following sponsors.,Ce programme vous a été offert par les sponsors suivants.
Thousands of people went to the beach to see the dolphin.,Des milliers de gens se rendirent à la plage pour voir le dauphin.
"To be happy, you should spend time with someone you love.","Pour être heureux, tu devrais passer du temps avec quelqu'un que tu aimes."
"To be happy, you should spend time with someone you love.","Pour être heureux, vous devriez passer du temps avec quelqu'un que vous aimez."
"To my surprise, the anthropologist was accused of murder.","À ma surprise, l'anthropologiste a été accusé de meurtre."
"Today it's very sunny, so everyone is wearing sunglasses.","Aujourd'hui est très ensoleillé, du coup tout le monde porte des lunettes de soleil."
"Tom and Mary are both thirty, but they look much younger.","Tom et Mary ont tous les deux trente ans, mais ils ont l'air beaucoup plus jeunes."
"Tom and Mary are both thirty, but they look much younger.","Tom et Mary ont tous les deux trente ans, mais ils font beaucoup plus jeune."
Tom and Mary told me they had a good time at the concert.,Tom et Mary ont dit qu'ils avaient passé un bon moment au concert.
Tom asked Mary to go to the supermarket to get some milk.,Tom demanda à Marie d'aller au supermarché pour prendre du lait.
Tom asked Mary to go to the supermarket to get some milk.,Tom demanda à Marie d'aller au supermarché chercher du lait.
Tom didn't even have enough money to buy a cup of coffee.,Tom n'a même pas eu assez d'argent pour un café.
Tom didn't know that Mary's house was so close to John's.,Tom ne savait pas que la maison de Marie était si proche de celle de John.
Tom didn't know the difference between glass and crystal.,Tom ne connaît pas la différence entre le verre et le cristal.
Tom didn't know why Mary needed to borrow thirty dollars.,Tom ne savait pas pourquoi Marie avait besoin d'emprunter trente dollars.
Tom didn't seem surprised when I told him where I'd gone.,Tom n'a pas eu l'air surpris quand je lui ai dit où j'étais allé.
Tom didn't seem surprised when I told him why I did that.,Tom n'a pas eu l'air surpris quand je lui ai dit pourquoi j'avais fait ça.
Tom doesn't believe Mary could do that without some help.,Tom ne croit pas que Mary ait pu faire ça sans une aide quelconque.
Tom doesn't have enough money to buy everything he needs.,Tom n'a pas assez d'argent pour acheter tout ce dont il a besoin.
Tom doesn't know how much time it'll take him to do that.,Tom ne sait pas combien de temps il lui faudra pour faire ça.
Tom doesn't know the difference between a wolf and a fox.,Tom ne connaît pas la différence entre un loup et un renard.
Tom doesn't know who Mary is planning on doing that with.,Tom ne sait pas avec qui Mary projette de faire ça.
Tom doesn't seem to be as particular as Mary seems to be.,Tom ne semble pas aussi particulier que Mary.
Tom finished writing the report in less than three hours.,Tom a terminé la rédaction du rapport en moins de trois heures.
Tom had no choice but to do what the boss told him to do.,Tom n'avait d'autre choix que de faire ce que le patron lui a dit de faire.
Tom hoped Mary wouldn't find out about what had happened.,Tom espérait que Mary n'allait pas découvrir ce qui s'était passé.
Tom hopes he doesn't become a workaholic like his father.,Tom espère qu'il ne deviendra pas accro au travail comme son père.
Tom is a student at the university where I used to teach.,Tom est étudiant à l'université où j'enseignais.
Tom is convinced that his mother doesn't want to eat now.,Tom est convaincu que sa mère ne veut pas manger maintenant.
"Tom is going to Mary's birthday party tomorrow, isn't he?","Tom va à l'anniversaire de Mary demain, n'est-ce-pas ?"
Tom is not available at the moment. May I take a message?,Tom n’est pas disponible pour le moment. Est-ce que je peux prendre un message ?
Tom made a list of things he wanted to do before he died.,Tom a fait une liste de choses qu'il voulait faire avant de mourir.
Tom says that Mary definitely doesn't want to be married.,Tom dit que Mary ne veut absolument pas se marier.
Tom spent the remainder of the night thinking about Mary.,Tom passa le reste de la nuit à penser à Marie.
"Tom thinks you're cute, but he's too shy to say anything.","Tom pense que tu es mignonne, mais il est trop timide pour dire un mot."
Tom tiptoed into the bedroom to avoid waking up his wife.,Tom marcha sur la pointe des pieds jusqu'à la chambre pour éviter de réveiller sa femme.
Tom told me that he doesn't have any brothers or sisters.,Tom m'a dit qu'il n'avait ni frères ni sœurs.
Tom took off his wedding ring and threw it into the pond.,Tom retira son alliance et la jeta dans l'étang.
Tom was asked to be best man at Mary's brother's wedding.,On a demandé à Tom d'être témoin au mariage du frère de Marie.
Tom was determined to finish the job before he went home.,Tom était déterminé à ne rentrer qu'une fois son travail accompli.
Tom was surprised how well Mary could play the saxophone.,Tom était surpris à quel point Marie pouvait bien jouer du saxophone.
Tom was very aware that every eye in the room was on him.,Tom était tout à fait conscient que tous les regards étaient tournés vers lui dans la pièce.
Tom woke Mary up at 6:30 and she wasn't happy about that.,Tom réveilla Mary à 6h30 et elle n'en était pas heureuse.
Tom works at one of the most popular restaurants in town.,Tom travaille dans l'un des restaurants les plus populaires de la ville.
"Tom, Mary and John were each given three hundred dollars.","Tom, Mary et John ont reçu chacun trois cents dollars."
"Tom, who had been working all day, wanted to have a rest.","Tom, qui avait travaillé toute la journée, voulait se reposer."
Tsunamis swept through rice fields and flooded the towns.,Les tsunamis ont balayé les rizières et submergé les villes.
We could meet downtown. Would that be convenient for you?,Nous pourrions nous rencontrer au centre-ville. Cela vous conviendrait-il ?
We could meet downtown. Would that be convenient for you?,Nous pourrions nous rencontrer au centre-ville. Cela te conviendrait-il ?
We could meet downtown. Would that be convenient for you?,On peut se voir au centre-ville. Est-ce que ça t'arrange ?
"We don't really have to talk about this right now, do we?","Nous n'avons pas vraiment besoin de parler de ceci maintenant, non ?"
We have something very important that we have to discuss.,Il nous faut discuter de quelque chose de très important.
We have something very important that we need to discuss.,Il nous faut discuter de quelque chose de très important.
