English words/sentences,French words/sentences
I don't know the truth.,J'ignore la vérité.
I don't know this game.,Je ne connais pas ce jeu.
I don't know this game.,J'ignore ce jeu.
I don't know who he is.,Je ne sais pas qui il est.
I don't know who knows.,Je ne sais pas qui le sait.
I don't know your name.,J'ignore votre nom.
I don't know your name.,J'ignore ton nom.
I don't know your name.,Je ne connais pas votre nom.
I don't know your name.,Je ne connais pas ton nom.
I don't like chocolate.,Je n'aime pas le chocolat.
I don't like chocolate.,Je n'apprécie pas le chocolat.
I don't like it at all.,Je n'aime pas ça du tout.
I don't like it either.,"Moi non plus, je n'aime pas ça."
I don't like profanity.,Je n'aime pas les obscénités.
I don't like punk rock.,Je n'aime pas le punk rock.
I don't like shellfish.,Je n'aime pas les coquillages.
I don't like that name.,Je n'aime pas ce nom.
I don't like that name.,Je n'apprécie pas ce nom.
I don't like the beach.,Je n'aime pas la plage.
I don't like the ocean.,Je n'aime pas l'océan.
I don't like this book.,Je n'aime pas ce livre.
I don't like this game.,Je n'apprécie pas ce jeu.
I don't like this idea.,Je n'aime pas cette idée.
I don't like this soup.,Je n'aime pas cette soupe.
I don't like your boss.,Je n'aime pas votre patron.
I don't like your boss.,Je n'aime pas votre patronne.
I don't like your boss.,Je n'aime pas ton patron.
I don't like your boss.,Je n'aime pas ta patronne.
I don't like your name.,Je n'aime pas ton prénom.
I don't like your tone.,Je n'apprécie pas votre ton.
I don't like your tone.,Je n'apprécie pas ton ton.
I don't look like that.,Je n'ai pas cette apparence.
I don't make the rules.,Ce n'est pas moi qui écris les règles.
I don't need a haircut.,Je n'ai pas besoin de me faire couper les cheveux.
I don't need a lecture.,Je n'ai pas besoin d'une leçon.
I don't need a partner.,Je n'ai pas besoin de partenaire.
I don't need an excuse.,Je n'ai pas besoin d'excuse.
I don't need an office.,Je n'ai pas besoin de bureau.
I don't need this much.,Je n'ai pas besoin d'autant.
I don't need your help.,Je n'ai pas besoin de ton aide.
I don't need your help.,Je n'ai pas besoin de votre aide.
I don't plan on losing.,Je ne prévois pas de perdre.
I don't play that game.,Je ne joue pas à ce jeu.
I don't quite know yet.,Je ne sais pas encore tout à fait.
I don't regret a thing.,Je ne regrette rien.
I don't see any damage.,Je ne vois aucun dommage.
I don't see the appeal.,Je ne vois pas l'attrait.
I don't see the appeal.,Je ne vois pas l'intérêt.
I don't see your point.,Je ne comprends pas ton point de vue.
I don't smoke or drink.,Je ne fume ni ne bois.
I don't speak Japanese.,Je ne parle pas japonais.
I don't speak Japanese.,Je ne parle pas le japonais.
I don't talk like that.,Je ne parle pas ainsi.
I don't think it's odd.,Je ne pense pas que ce soit bizarre.
I don't understand Tom.,Je ne comprends pas Tom.
I don't understand art.,Je ne comprends pas l'art.
I don't understand you.,Je ne vous comprends pas.
I don't want any fruit.,Je ne veux pas de fruit.
I don't want any money.,Je ne veux pas d'argent.
I don't want to forget.,Je ne veux pas oublier.
I don't want to go out.,Je n'ai pas envie de sortir.
I don't want to see it.,Je ne veux pas le voir.
I don't want to see it.,Je ne veux pas la voir.
I don't want to suffer.,Je ne veux pas souffrir.
I don't want you to go.,Je ne veux pas que tu partes.
I don't want you to go.,Je ne veux pas que tu y ailles.
I don't want your gold.,Je ne veux pas de votre or.
I don't want your gold.,Je ne veux pas de ton or.
I don't work like that.,Je ne travaille pas ainsi.
I doubt Tom knows Mary.,Je doute que Tom connaisse Mary.
I eat a lot of carrots.,Je mange plein de carottes.
I enjoy being with you.,J'apprécie votre compagnie.
I enjoy being with you.,J'apprécie ta compagnie.
I enjoyed it very much.,J'y ai pris beaucoup plaisir.
I enjoyed it very much.,J'y ai pris beaucoup de plaisir.
I enjoyed it very much.,J'y ai trouvé beaucoup de plaisir.
I enjoyed it very much.,Ça m'a beaucoup plu.
I enjoyed myself a lot.,Je me suis beaucoup amusé.
I enjoyed this article.,J'ai apprécié cet article.
I enjoyed your company.,J'ai pris plaisir à votre compagnie.
I enjoyed your company.,J'ai pris plaisir à être avec toi.
I even work on Sundays.,Je travaille même le dimanche.
I expect a tough fight.,Je m'attends à un combat difficile.
I expected him to come.,Je m'attendais à ce qu'il vienne.
I feel a lot safer now.,Je me sens désormais beaucoup plus en sécurité.
I feel a sense of duty.,Je ressens la conscience du devoir.
I feel different today.,"Je me sens différent, aujourd'hui."
I feel different today.,"Je me sens différente, aujourd'hui."
I feel great right now.,Je me sens bien maintenant.
I feel like I know you.,Il me semble que je vous connais.
I feel like I know you.,Il me semble que je te connais.
I feel like I know you.,J'ai le sentiment de vous connaître.
I feel like I know you.,J'ai le sentiment de te connaître.
I feel like seeing you.,J'ai envie de te voir.
I feel like seeing you.,J'ai envie de vous voir.
I feel secure with him.,Je me sens en sécurité avec lui.
I fell asleep in class.,Je me suis endormi en classe.
I fell down the stairs.,Je suis tombé dans les escaliers.
I fell down the stairs.,Je suis tombée dans les escaliers.
I felt guilty about it.,Je m'en sentis coupable.
I felt guilty about it.,Je m'en suis senti coupable.
