English words/sentences,French words/sentences
I've come to the same conclusion.,J'en suis venu à la même conclusion.
I've come to the same conclusion.,Je suis arrivée à la même conclusion.
I've decided never to vote again.,J'ai décidé de ne plus jamais voter.
I've decided never to vote again.,J'ai pris la décision de ne plus jamais voter.
I've decided to agree to do that.,J'ai décidé d'accepter de le faire.
I've decided to buy the blue car.,J'ai décidé d'acheter la voiture bleue.
I've finally gotten over my cold.,J'ai finalement réussi à vaincre mon rhume.
I've finally gotten over my cold.,J'ai finalement réussi à surmonter mon rhume.
I've finished doing that already.,J'ai déjà fini de faire ça.
I've finished writing the letter.,J'ai fini d'écrire la lettre.
I've given this a lot of thought.,J'y ai consacré beaucoup de réflexion.
I've got 30 dollars in my wallet.,J'ai trente dollars dans mon portefeuille.
I've got as much money as he has.,J'ai autant d'argent que lui.
I've got no quarrel with you two.,Je n'ai pas de querelle avec vous deux.
I've got nothing to do with this.,Je n'ai rien à faire avec ceci.
I've got to get away for a while.,Il faut que je m'absente un peu.
I've got to get ready for school.,Il me faut me préparer pour l'école.
I've got to go to the men's room.,Il faut que j'aille aux toilettes.
I've got to learn some new songs.,Il me faut apprendre de nouvelles chansons.
I've got to learn some new songs.,Il faut que j'apprenne de nouvelles chansons.
I've got to learn some new songs.,Je dois apprendre de nouvelles chansons.
I've gotten used to living alone.,Je me suis habitué à vivre seul.
I've gotten used to living alone.,Je me suis habituée à vivre seule.
I've gotten used to this climate.,Je me suis habitué à ce climat.
I've had a lot on my mind lately.,"J'ai eu beaucoup de choses à l'esprit, ces derniers temps."
I've heard quite a lot about you.,J'ai entendu dire pas mal de choses sur toi.
I've just arrived at the station.,Je viens d'arriver à la gare.
I've just arrived at the station.,Je viens d’arriver à la gare.
I've just arrived at the station.,Je viens d’arriver à la station.
I've lived here for thirty years.,J'ai vécu ici pendant trente ans.
I've never even had a girlfriend.,Je n'ai jamais même eu de petite amie.
I've never even had a girlfriend.,Je n'ai jamais même eu de petite copine.
I've never even had a girlfriend.,Je n'ai jamais même eu de nana.
I've never felt like this before.,Je ne me suis jamais sentie comme ceci auparavant.
I've never felt like this before.,Je ne me suis jamais senti comme ceci avant.
I've never gone fishing at night.,Je ne suis jamais allé pêcher de nuit.
I've never had to work very hard.,Je n'ai jamais eu à travailler très dur.
I've never heard of such a thing.,Jamais je n'ai entendu une telle chose.
