English words/sentences,French words/sentences
A rat ran across the road.,Un rat traversa la route.
A reward is being offered.,Une récompense est offerte.
A tear ran down her cheek.,Une larme coula le long de sa joue.
A watched pot never boils.,Tout vient à point à qui sait attendre.
Add 5 to 3 and you have 8.,Cinq plus trois égalent huit.
"After a while, he came to.","Après un moment, il revint à lui."
"After eating, I go to bed.","Après le repas, je vais au lit."
Air is a mixture of gases.,L'air est un mélange de gaz.
Air is lighter than water.,L'air est plus léger que l'eau.
"All at once, he spoke out.",Il prit tout à coup la parole.
All graduates are invited.,Tous les lauréats sont invités.
All graduates are invited.,Toues les lauréates sont invitées.
All knowledge is not good.,Toute connaissance n'est pas bonne.
All men are created equal.,Tous les hommes naissent égaux.
All men have equal rights.,Tous les hommes ont des droits égaux.
All of my things are gone.,Toutes mes affaires ont disparu.
All of them are connected.,Ils sont tous connectés.
All of them are connected.,Elles sont toutes connectées.
All of them are different.,Ils sont tous différents.
All of them are different.,Elles sont toutes différentes.
All of us plan to do that.,Nous tous prévoyons de le faire.
All of us plan to do that.,Nous tous prévoyons de faire ça.
All of us plan to do that.,Nous tous prévoyons de faire cela.
"All right, give me a kiss.","Très bien, embrasse-moi."
"All right, give me a kiss.","Très bien, fais-moi un bisou."
All the prisoners escaped.,Tous les prisonniers se sont échappés.
All the prisoners escaped.,Toutes les prisonnières se sont échappées.
All the stores are closed.,Tous les magasins sont fermés.
All the stores are closed.,Toutes les boutiques sont fermées.
All these things are true.,Toutes ces choses sont vraies.
All you had to do was ask.,Tout ce que tu avais à faire était de demander.
All you had to do was ask.,Tout ce que vous avez eu à faire était de demander.
All's well that ends well.,Tout est bien qui finit bien.
Allow me to accompany you.,Permettez-moi de vous accompagner.
Allow me to accompany you.,Permets-moi de t'accompagner.
Am I disturbing something?,Est-ce que je trouble quelque chose ?
Am I speaking too quickly?,Est-ce que je parle trop vite ?
Am I still your boyfriend?,Suis-je encore ton petit ami ?
Am I under suspicion here?,"Suis-je soupçonné, là ?"
Am I under suspicion here?,"Suis-je soupçonnée, là ?"
An accident just happened.,Un accident vient tout juste d'arriver.
And then what will happen?,"Et ensuite, qu'est-ce qui va se passer ?"
"And then, what did you do?","Et alors, qu'as-tu fait ?"
"And then, what did you do?","Et alors, qu'avez-vous fait ?"
Ants work hard all summer.,Les fourmis travaillent dur tout l'été.
Any child can answer that.,N'importe quel enfant peut répondre à ça.
Any one of us could do it.,N'importe lequel d'entre-nous pouvais le faire.
Any one of us could do it.,N'importe lequel d'entre-nous pourrais le faire.
Anybody can become famous.,N'importe qui peut devenir célèbre.
Anyone can ask a question.,N'importe qui peut poser une question.
Anyone can make a mistake.,Tout le monde peut commettre une erreur.
Apparently no one noticed.,"Apparemment, personne ne remarqua."
Appearances are deceiving.,Les apparences sont trompeuses.
Apples were on sale today.,Les pommes étaient en promotion aujourd'hui.
Are all these books yours?,Tous ces livres t'appartiennent-ils ?
Are all these books yours?,Tous ces livres sont-ils à toi ?
Are all these books yours?,Tous ces livres vous appartiennent-ils ?
Are all these books yours?,Tous ces livres sont-ils à vous ?
Are there others like you?,Y en a-t-il d'autres comme toi ?
Are there others like you?,Y en a-t-il d'autres comme vous ?
Are they actually friends?,Sont-ils réellement amis ?
Are they actually friends?,Sont-elles réellement amies ?
Are they friends of yours?,Sont-ce de vos amis ?
Are they friends of yours?,Sont-ils de vos amis ?
Are they friends of yours?,Sont-ils de tes amis ?
Are we still on for later?,On se voit toujours plus tard ?
Are you able to swim well?,Es-tu capable de nager correctement ?
Are you able to swim well?,Êtes-vous capable de nager correctement ?
Are you afraid of silence?,Avez-vous peur du silence ?
Are you afraid of silence?,As-tu peur du silence ?
Are you all finished here?,"En avez-vous tous fini, ici ?"
Are you all finished here?,"En avez-vous tous terminé, ici ?"
Are you all finished here?,"En avez-vous toutes fini, ici ?"
Are you all finished here?,"En avez-vous toutes terminé, ici ?"
Are you busy Friday night?,Es-tu occupé vendredi soir ?
Are you busy Friday night?,Es-tu occupée vendredi soir ?
Are you busy Friday night?,Êtes-vous occupée vendredi soir ?
Are you busy Friday night?,Êtes-vous occupées vendredi soir ?
Are you busy Friday night?,Êtes-vous occupés vendredi soir ?
Are you busy Friday night?,Êtes-vous occupé vendredi soir ?
Are you calling me a liar?,Est-ce que tu me traites de menteur ?
Are you calling me a liar?,Me traitez-vous de menteur ?
Are you deaf or something?,T'es devenu complètement sourde ou quoi?
Are you enjoying the play?,As-tu plaisir à regarder la pièce ?
Are you enjoying the play?,Avez-vous plaisir à regarder la pièce ?
Are you enjoying yourself?,Vous amusez-vous ?
Are you enjoying yourself?,T'amuses-tu ?
Are you expecting someone?,Attendez-vous quelqu'un ?
Are you expecting someone?,Attends-tu quelqu'un ?
Are you flirting with him?,Es-tu en train de le draguer ?
Are you flirting with him?,Êtes-vous en train de le draguer ?
Are you for or against it?,Êtes-vous pour ou contre ?
Are you free after school?,Es-tu libre après l'école ?
Are you free this weekend?,Êtes-vous libre ce week-end ?
Are you free this weekend?,Es-tu libre ce week-end ?
Are you going home by bus?,Rentres-tu chez toi en bus ?
Are you going home by bus?,Rentrez-vous chez vous en bus ?
Are you going to buy that?,Vas-tu acheter cela ?
Are you going to buy that?,Allez-vous acheter cela ?
Are you going to eat that?,Vas-tu manger ça ?
Are you going to eat that?,Allez-vous manger ça ?
Are you going to use this?,Est-ce que vous allez utiliser cela ?
Are you going to warn Tom?,Allez-vous avertir Tom?
Are you heading somewhere?,Vous dirigez-vous quelque part ?
Are you heading somewhere?,Te diriges-tu quelque part ?
