English words/sentences,French words/sentences
Tom shouldn't do that kind of thing.,Tom ne devrait pas faire ce genre de choses.
Tom shouldn't have done what he did.,Tom n'aurait pas du faire ce qu'il a fait.
Tom showed us a photo of his mother.,Tom nous montra une photo de sa mère.
Tom slammed the door in Mary's face.,Tom claqua la porte au nez de Mary.
Tom slept on an inflatable mattress.,Tom a dormi sur un matelas gonflable.
Tom sold his car without hesitation.,Tom a vendu sa voiture sans hésitation.
"Tom speaks French, and so does Mary.",Tom parle français et Mary aussi.
Tom stayed in Boston for three days.,Tom est resté à Boston pendant trois jours.
Tom stayed in Boston for three days.,Tom resta à Boston pendant trois jours.
Tom still isn't taking us seriously.,Tom ne nous prend toujours pas au sérieux.
Tom takes very good care of his car.,Tom prend très soin de sa voiture.
Tom thinks this price is reasonable.,Tom pense que ce prix est raisonnable.
Tom thought Mary could speak French.,Tom pensait que Mary pouvait parler français.
Tom thought Mary would remember him.,Tom pensait que Mary se serait souvenue de lui.
Tom thought everything was in order.,Tom pensait que tout était en ordre.
Tom threw an empty beer can at Mary.,Tom a lancé une canette de bière vide à Mary.
Tom told Mary he could eat anything.,Tom a dit à Mary qu'il pouvait manger de tout.
Tom told Mary he could eat anything.,Tom dit à Mary qu'il pouvait manger de tout.
Tom told Mary he had to leave early.,Tom a dit à Mary qu'il devait partir tôt.
Tom told Mary he had to leave early.,Tom dit à Mary qu'il devait partir tôt.
Tom told Mary he had to talk to her.,Tom a dit à Mary qu'il avait à lui parler.
Tom told Mary he had to talk to her.,Tom dit à Mary qu'il avait à lui parler.
Tom told Mary he'd never lie to her.,Tom a dit à Mary qu'il ne lui mentirait jamais.
Tom told Mary he'd never lie to her.,Tom dit à Mary qu'il ne lui mentirait jamais.
Tom told Mary not to swim with John.,Tom a dit à Mary de ne pas nager avec John.
Tom told Mary that he was depressed.,Tom a dit à Mary qu'il était déprimé.
Tom told Mary to keep that a secret.,Tom a dit à Mary de garder ça secret.
Tom told Mary to keep that a secret.,Tom a dit à Mary de garder cela secret.
Tom told Mary to keep that a secret.,Tom dit à Mary de garder ça secret.
Tom told Mary to keep that a secret.,Tom dit à Mary de garder cela secret.
"Tom told a joke, but nobody laughed.","Tom a raconté une blague, mais personne n'a ri."
"Tom told a joke, but nobody laughed.","Tom raconta une blague, mais personne ne rit."
Tom told me he was looking for Mary.,Tom m'a dit qu'il cherchait Mary.
Tom told me that Mary was on a diet.,Tom m'a dit que Mary était au régime.
Tom told me that he hated Christmas.,Tom m'a avoué qu'il détestait Noël.
Tom told me that he'd already eaten.,Tom m'a dit qu'il avait déjà mangé.
Tom told me which book I should buy.,Tom m'a dit quel livre je devrais acheter.
Tom took a book down from the shelf.,Tom prit un livre sur l'étagère.
Tom took a book down from the shelf.,Tom a pris un livre sur l'étagère.
Tom took care of the kids yesterday.,Tom a pris soin des enfants hier.
Tom took his new car out for a spin.,Tom sortit sa nouvelle voiture pour faire une balade.
"Tom tried to do it, but he couldn't.","Tom a essayé de le faire, mais il n'a pas pu."
"Tom tried to do it, but he couldn't.","Tom essaya de le faire, mais il ne put pas."
Tom tried to persuade Mary to drive.,Tom a essayé de persuader Mary de conduire.
"Tom tried, unsuccessfully, to smile.","Tom essaya, sans succès, de sourire."
Tom waited for Mary for a long time.,Tom a attendu Mary pendant un long moment.
Tom waited for Mary for a long time.,Tom attendit Mary pendant longtemps.
Tom waited for Mary for three hours.,Tom attendit Mary pendant trois heures.
Tom waited for Mary for three hours.,Tom a attendu Mary pendant trois heures.
Tom walked to the front of the room.,Tom se dirigea vers l'avant de la salle.
Tom wanted Mary to have a good time.,Tom voulait que Mary passe du bon temps.
Tom wanted Mary to leave right away.,Tom voulait que Marie s’en fût allé immédiatement.
Tom wanted Mary to meet his friends.,Tom voulait que Mary rencontre ses amis.
Tom wanted Mary to meet his parents.,Tom voulait que Mary rencontre ses parents.
Tom wanted me to walk home with him.,Tom voulait que je l'accompagne chez lui à pied.
Tom wants to ask us a few questions.,Tom veut nous poser quelques questions.
Tom wants to borrow my car tomorrow.,Tom veut emprunter ma voiture demain.
Tom wants to come to Boston with us.,Tom veut venir à Boston avec nous.
Tom wants to come with us to Boston.,Tom veut venir avec nous à Boston.
Tom wants to see Mary in his office.,Tom veut voir Mary dans son bureau.
Tom was alone last night at the bar.,"Tom était hier soir, seul au bar à bières."
Tom was attacked by a swarm of bees.,Tom s'est fait attaquer par un essaim d'abeilles.
Tom was chosen among 300 applicants.,Tom a été choisi parmi 300 candidats.
Tom was here just a few minutes ago.,Tom était là il y a quelques minutes.
Tom was impatient to see Mary again.,Tom était impatient de revoir Mary.
Tom was in prison for several years.,Tom a passé plusieurs années en prison.
Tom was my neighbor for three years.,Tom était mon voisin durant trois ans.
Tom was playing tennis this morning.,Tom jouait au tennis ce matin.
Tom was trying to control his anger.,Tom essayait de contrôler sa colère.
Tom was wearing a janitor's uniform.,Tom portait un uniforme de concierge.
Tom was well-known in the community.,Tom était bien connu dans la communauté.
Tom wasn't able to sleep on the bus.,Tom n'était pas capable de dormir dans le bus.
Tom wasn't in his room this morning.,Tom n'était pas dans sa chambre ce matin.
Tom wasn't worried about his grades.,Tom n'était pas inquiet au sujet de ses notes.
Tom went swimming with us yesterday.,Tom est allé nager avec nous hier.
Tom will be angry if Mary does that.,Tom serait en colère si Mary faisait ça.
Tom will be here in fifteen minutes.,Tom sera là dans quinze minutes.
Tom will be very sad if Mary leaves.,Tom serait vraiment triste si Mary partait.
Tom will be very successful someday.,Tom connaîtra le succès un jour.
Tom will buy a house on Park Street.,Tom va acheter une maison sur la Park Street.
Tom will buy a new car next weekend.,Tom va acheter une nouvelle voiture le week-end prochain.
Tom will likely testify against you.,Tom va probablement témoigner contre toi.
Tom won't go to Boston without Mary.,Tom n'ira pas à Boston sans Mary.
Tom won't help Mary do that anymore.,Tom n'aidera plus Mary à le refaire.
Tom wondered where to hang his coat.,Tom se demandait où pendre son manteau.
Tom would never go there by himself.,Tom n'irait jamais là seul.
Tom would've been very proud of you.,Tom aurait été très fier de toi.
Tom would've been very proud of you.,Tom aurait été très fier de vous.
Tom wrote Mary's number on a napkin.,Tom nota le numéro de téléphone de Mary sur une serviette.
Tom's eyes were glued to the screen.,Les yeux de Tom étaient collés à l'écran.
Tom's flight will be arriving early.,Le vol de Tom va atterrir plus tôt que prévu.
Tom's friends tried to cheer him up.,Les amis de Tom ont essayé de lui remonter le moral.
Tom's proposal is worth considering.,La proposition de Tom vaut la peine d'être prise en compte.
"Tom, I have something to say to you.","Tom, j'ai quelque chose à te dire."
"Tomorrow morning, I'll wake up at 6.","Demain matin, je me lève à 6 heures."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Efforce-toi d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Efforce-toi d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essaie d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Essaie d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuel, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuelle, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuelles, désormais."
Try to be more punctual from now on.,"Essayez d'être plus ponctuels, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuelles, désormais."
Try to be more punctual from now on.,"Efforcez-vous d'être plus ponctuels, désormais."
Try to make it last a little longer.,Essaie de le faire durer un peu plus longtemps.
Try to make it last a little longer.,Essayez de le faire durer un peu plus longtemps.
Turn right at the next intersection.,Tourne à droite à la prochaine intersection.
Turn right at the next intersection.,Tourne à droite au prochain carrefour.
Turn right at the next intersection.,Prends à droite au prochain croisement.
Two detectives followed the suspect.,Deux détectives suivirent le suspect.
Two families live in the same house.,Deux familles vivent dans la même maison.
"Two glasses of orange juice, please.",Deux verres de jus d'orange s'il vous plaît.
Two people say they heard a gunshot.,Deux personnes disent avoir entendu une détonation.
Two people say they heard a gunshot.,Deux personnes disent avoir entendu un coup de feu.
Two people say they heard a gunshot.,Deux personnes disent qu'elles ont entendu une détonation.
