English words/sentences,French words/sentences
I don't miss you at all.,Vous ne me manquez pas du tout.
I don't need it anymore.,Je n'en ai plus besoin.
I don't need to be here.,Je n'ai pas besoin d'être ici.
I don't need your money.,Je n'ai pas besoin de votre argent.
I don't need your money.,Je n'ai pas besoin de ton argent.
I don't often come here.,Je ne viens pas souvent ici.
I don't really know why.,Je ne sais pas vraiment pourquoi.
I don't really know you.,Je ne vous connais pas vraiment.
I don't really know you.,Je ne te connais pas vraiment.
I don't really like him.,Je ne l'aime pas vraiment.
I don't really like him.,Je ne l'apprécie pas vraiment.
I don't really like you.,Je ne vous aime pas vraiment.
I don't really like you.,Je ne t'aime pas vraiment.
I don't really like you.,Je ne vous apprécie pas vraiment.
I don't really like you.,Je ne t'apprécie pas vraiment.
I don't really think so.,Je ne le crois pas vraiment.
I don't regret anything.,Je ne regrette rien.
I don't see any bruises.,Je ne vois aucune ecchymose.
I don't see any options.,Je ne vois aucune option.
I don't see any problem.,Je ne vois aucun problème.
I don't see it that way.,Je ne le vois pas de cette façon.
I don't see much choice.,Je ne vois guère de choix.
I don't see much of him.,Je ne le vois guère.
I don't see the problem.,Je ne vois pas le problème.
I don't sound like that.,Je ne fais pas ce bruit.
I don't think I like it.,Je ne pense pas que j'apprécierai.
I don't think about you.,Je ne pense pas à vous.
I don't think about you.,Je ne pense pas à toi.
I don't think it's true.,Je ne pense pas que ce soit vrai.
I don't trust his story.,Je ne crois pas à son histoire.
I don't trust strangers.,Je ne me fie pas aux étrangers.
I don't understand this.,Je ne le comprends pas.
I don't want it anymore.,Je n'en veux plus.
I don't want this shirt.,Je ne veux pas cette chemise.
I don't want this shirt.,Je ne veux pas de cette chemise.
I don't want this shirt.,Je n'ai pas envie de cette chemise.
I don't want to be here.,Je n'ai pas envie d'être ici.
I don't want to be rich.,Je ne veux pas être riche.
I don't want to be shot.,Je ne veux pas qu'on me tire dessus.
I don't want to comment.,Je ne souhaite pas apporter de commentaire.
I don't want to do that.,Je ne veux pas faire ça.
I don't want to do that.,Je ne souhaite pas faire cela.
I don't want to give up.,Je ne veux pas abandonner.
I don't want to grow up.,Je ne veux pas grandir.
I don't want to hear it.,Je ne veux pas entendre ça.
I don't want to see Tom.,Je ne veux pas voir Tom.
I don't want to see you.,Je ne veux pas te voir.
I don't want to see you.,Je ne veux pas vous voir.
I don't want your money.,Je ne veux pas de ton argent.
I don't want your money.,Je veux pas de votre argent.
I don't watch that show.,Je ne regarde pas ce spectacle.
I don't watch that show.,Je ne regarde pas cette émission.
I don't work for anyone.,Je ne travaille pour personne.
I don't work on Mondays.,Le lundi je ne travaille pas.
I don't write the rules.,Ce n'est pas moi qui écris les règles.
I doubt if he is honest.,Je doute qu'il soit honnête.
I doubt if he will come.,Je doute qu'il vienne.
I dozed on a park bench.,Je me suis assoupi sur un banc dans un parc.
I drank a lot of coffee.,J'ai bu beaucoup de café.
I drank beer last night.,J'ai bu de la bière la nuit dernière.
I drank beer last night.,J'ai bu de la bière hier soir.
I eat dinner after work.,Je dîne après le travail.
I eat here all the time.,Je mange ici tout le temps.
I eat there every night.,J'y mange tous les soirs.
I eat there every night.,J'y mange chaque soir.
I enjoy being a teacher.,J'apprécie d'être enseignant.
I enjoy being a teacher.,J'apprécie d'être enseignante.
I enjoy eating with you.,J'ai plaisir à manger avec vous.
I enjoy eating with you.,J'ai plaisir à manger avec toi.
I enjoy taking pictures.,J'aime prendre des photos.
I enjoyed the attention.,J'ai apprécié l'attention.
I envy your good health.,Je vous envie votre bonne santé.
I envy your good health.,J'envie ta bonne santé.
I expect him to help me.,J'attends qu'il m'aide.
I expect him to help me.,J'attends de lui qu'il m'aide.
I feel a little awkward.,Je me sens un peu maladroit.
I feel a little awkward.,Je me sens un peu maladroite.
I feel a little awkward.,Je me sens quelque peu maladroit.
I feel a little awkward.,Je me sens quelque peu maladroite.
I feel a lot better now.,Je me sens bien mieux maintenant.
I feel awful about that.,Je me sens affreusement mal à ce sujet.
I feel bad for that guy.,Je me sens mal pour ce type.
I feel bad for that guy.,Je compatis avec ce type.
I feel better than ever.,Je me sens mieux que jamais.
I feel itchy everywhere.,Ça me gratte de partout.
I feel kind of nauseous.,J'ai comme la nausée.
I feel kind of nauseous.,Je suis comme pris de nausée.
I feel kind of nauseous.,Je suis comme prise de nausée.
