English words/sentences,French words/sentences
"It's been almost ten years, but you're as beautiful as ever.","Cela fait presque déjà dix ans, mais tu es toujours aussi beau."
It's better to be approximately right than completely wrong.,Il est préférable d'avoir approximativement raison que complètement tort.
It's hard to predict what the weather will be like tomorrow.,C'est dur de dire comment sera le temps demain.
It's not hard to stand out when you're surrounded by idiots.,Il n'est guère difficile de briller quand on est entouré d'idiots.
It's not hard to stand out when you're surrounded by idiots.,Ce n'est pas difficile de se distinguer lorsqu'on est entouré d'idiots.
"It's not how much you know, but what you can do that counts.",Ce qui compte n'est pas ce que tu sais mais ce que tu peux faire.
"It's not how much you know, but what you can do that counts.","Ce n'est pas combien tu sais de choses, qui compte, mais ce que tu sais faire."
It's obvious that he's not used to living on a tight budget.,Il est évident qu'il n'est pas habitué à vivre d'un budget serré.
It's so hot that you could cook an egg on the hood of a car.,Il fait tellement chaud qu'on pourrait faire cuire des œufs sur le capot des voitures.
"It's wrong to deceive people, but worse to deceive yourself.","C'est mal de tromper les gens, mais c'est pire de se tromper soi-même."
Just because he likes painting doesn't mean he's good at it.,Ce n'est pas parce qu'il aime la peinture qu'il peint bien.
Last night my daughter didn't come home until half past one.,"La nuit dernière, ma fille n'est pas rentrée à la maison avant une heure et demie."
"Last night there was a fire near here, and I couldn't sleep.","La nuit dernière, il y a eu un incendie et je n'ai pas pu dormir."
Lawyers and auto mechanics are the people I trust the least.,Les avocats et les mécaniciens auto sont les gens en qui j'ai le moins confiance.
"Let's have one more drink, and then I'll take you back home.","Reprenons un verre, et puis je vous ramènerai chez vous."
"Let's have one more drink, and then I'll take you back home.","Buvons encore un verre, et puis je te ramènerai à la maison."
"Look, I've had a long day and I want to go to bed right now.","Écoute, j'ai eu une longue journée et je veux aller me coucher maintenant."
Looking at your Facebook friends' photos is a waste of time.,Regarder les photos de tes amis Face-de-bouc est une perte de temps.
Looking at your Facebook friends' photos is a waste of time.,Regarder les photos de tes amis Fesse-bouc est une perte de temps.
Looking at your Facebook friends' photos is a waste of time.,Regarder les photos de vos amis de Facebook est une perte de temps.
Los Angeles is the second largest city in the United States.,Los Angeles est la deuxième plus grande ville des États-Unis.
Many people in my grandfather's generation grew up on farms.,Beaucoup de personnes de la génération de mon grand-père ont grandi dans des fermes.
Mary promised her mother that she would help her more often.,Marie a promis à sa mère qu'elle l'aiderait plus souvent.
Mary's closets are full of clothes she hasn't worn in years.,Les armoires de Marie sont pleines de vêtements qu'elle n'a pas porté depuis des années.
My sister can't start the day without reading her horoscope.,Ma sœur ne peut entamer la journée sans lire son horoscope.
My three-year-old daughter asked me to take her to the park.,Ma fille de trois ans m'a demandé de l'emmener au parc.
"No matter how hard you may try, you won't succeed so easily.","Tu auras beau essayer, tu ne réussiras pas aussi facilement."
"No matter how hard you may try, you won't succeed so easily.","Vous aurez beau essayer, vous ne réussirez pas aussi facilement."
Nobody knows what it is that has been bothering him so much.,Personne ne sait ce qui le tracasse tant.
Nothing is more pleasant than taking a rest after hard work.,Rien n'est plus agréable que de prendre du repos après un dur labeur.
"Now that Tom is unemployed, he has quite a bit of free time.","Maintenant que Tom est sans emploi, il a pas mal de temps libre."
"Now that you are grown up, you must not behave like a child.","Maintenant que tu es grand, tu ne dois pas te comporter comme un enfant."
"On weekends, I take my dogs out for a long walk in the park.","Le week-end, j'emmène mes chiens dehors pour une longue promenade dans le parc."
"One of the children is studying, but the others are playing.","Un des enfants étudie, mais les autres jouent."
"People can choose to start loving, but can't choose to stop.",Les gens peuvent choisir de se mettre à aimer mais ne peuvent choisir d'arrêter.
Pizza is the kind of food that fits into today's life style.,La pizza est le genre d'alimentation qui convient au style de vie d'aujourd'hui.
Pizza is the kind of food that fits into today's life style.,Une pizza c'est le type de nourriture adapté au mode de vie contemporain.
Please remain seated until the aircraft arrives at the gate.,Veuillez rester assis jusqu'à ce que l'appareil atteigne la porte.
Please remain seated until the bus comes to a complete stop.,Veuillez rester assis jusqu'à l'arrêt complet du bus.
"Please write down your name, address, and phone number here.","Veuillez inscrire ici vos nom, adresse, et numéro de téléphone."
Population growth has given rise to serious social problems.,L'accroissement de la population a donné lieu à de graves problèmes sociaux.
Private detectives were hired to look into the strange case.,Des détectives privés ont été embauchés pour examiner l'étrange affaire.
Promise me that you won't sell your guitar to anyone but me.,Promets-moi que tu ne vendras ta guitare à personne d'autre que moi.
Promise me that you won't sell your guitar to anyone but me.,Promettez-moi que vous ne vendrez votre guitare à personne d'autre que moi.
Seeing the woman with the yellow hat reminded me of a story.,Voir la femme au chapeau jaune m'a remémoré une histoire.
"Seen from a distance, the big rock looks like an old castle.",Vu de loin ce grand rocher ressemble à un vieux château.
Several students in the back of the classroom were sleeping.,"Plusieurs étudiants, à l'arrière de la classe, dormaient."
She advised him to talk about his life in the United States.,Elle lui conseilla de parler de sa vie aux États-Unis d'Amérique.
She advised him to talk about his life in the United States.,Elle lui a conseillé de parler de sa vie aux États-Unis d'Amérique.
She can tell the most outrageous lie without batting an eye.,Elle peut dire le mensonge le plus éhonté sans ciller.
She couldn't fall asleep because she was thinking about him.,Elle ne put s'endormir car elle pensait à lui.
She couldn't fall asleep because she was thinking about him.,Elle n'a pas pu s'endormir car elle pensait à lui.
"She doesn't have a babysitter, so she can't go to the party.","Elle n'a pas de nounou, c'est pourquoi elle ne peut pas se rendre à la fête."
She first came into contact with Japanese culture last year.,Elle est entrée en contact avec la culture japonaise l'an dernier pour la première fois.
"She looked after her sister, who was in bed with a bad cold.","Elle s'est occupée de sa sœur, qui était alitée en proie à un mauvais rhume."
She made me so angry on the telephone that I hung up on her.,Elle m'a mise tellement en colère au téléphone que je lui ai raccroché au nez.
She made me so angry on the telephone that I hung up on her.,"Elle m'a tellement énervé au téléphone, que je lui ai raccroché au nez."
She pooh-poohed the idea with a disdainful wave of her hand.,Elle rejeta l'idée d'un mouvement de main dédaigneux.
She still loves him even though he doesn't love her anymore.,"Elle l'aime toujours, même s'il ne l'aime plus."
She was advised by him not to borrow money from his friends.,Il lui recommanda de ne pas emprunter de l'argent à ses amis.
She was advised by him not to borrow money from his friends.,Il lui a recommandé de ne pas emprunter de l'argent à ses amis.
She was livid when she found out all the lies he'd told her.,Elle était furibonde lorsqu'elle a découvert tous les mensonges qu'il lui avait racontés.
She was livid when she found out all the lies he'd told her.,Elle était livide lorsqu'elle découvrit tous les mensonges qu'il lui avait racontés.
Some babies learn to swim even before they are one year old.,Certains bébés apprennent à nager avant même d'avoir un an.
Some countries in Europe are not part of the European Union.,Certains pays en Europe ne font pas partie de l'Union Européenne.
