English words/sentences,French words/sentences
None of us can speak French.,Aucun d'entre nous ne sait parler français.
Not all girls are like that.,Toutes les filles ne sont pas ainsi.
Not all of them are present.,Ils ne sont pas tous présents.
Not everybody can be a poet.,Tout le monde ne peut pas être poète.
Not everything is about you.,Tout ne se rapporte pas à toi.
Not everything is about you.,Tout ne se rapporte pas à vous.
Nothing happened between us.,Rien ne s'est passé entre nous.
Nothing unexpected happened.,Il ne s'est rien passé d’inattendu.
Nothing unexpected happened.,Rien d'inattendu ne s'est produit.
Nothing will stop his going.,Rien ne l'arrêtera.
Now I understand everything.,Maintenant je comprends tout.
"Now pay attention, children.","Maintenant, faites attention, les enfants."
Now shake hands and make up.,Maintenant serrez-vous la main et réconciliez-vous.
"Now, it's time to celebrate.",Il est maintenant temps de se réjouir.
"Now, it's time to celebrate.",Il est maintenant temps de nous réjouir.
"Obviously, it's not working.","À l'évidence, ça ne fonctionne pas."
Ogai is his favorite author.,Ogai est son auteur préféré.
"Oh come on, don't be scared.","Oh, allez, ne sois pas effrayé."
"Oh, no! My house is on fire!","Oh, non ! Ma maison est en feu !"
One of my friends knows you.,Un de mes amis te connaît.
Only three people were hurt.,Seulement trois personnes ont été blessées.
Open your book to page nine.,Ouvrez votre livre à la page neuf.
Our baby isn't speaking yet.,Notre bébé ne parle pas encore.
Our best friend is a doctor.,Notre meilleur ami est médecin.
Our dog will bite strangers.,Notre chien mord les étrangers.
Our friendship did not last.,Notre amitié n'a pas duré.
Our house was built in 2013.,Notre maison a été construite en 2013.
Our lives are in your hands.,Nos vies reposent entre tes mains.
Our lives are in your hands.,Nos vies reposent entre vos mains.
Our son died during the war.,Notre fils est mort pendant la guerre.
Our teacher is a real idiot.,Notre professeur est un parfait idiot.
Our team lost all its games.,Notre équipe a perdu tous ses matchs.
Parents love their children.,Les parents aiment leurs enfants.
Pay attention to what I say.,Faites attention à ce que je dis.
People are starting to talk.,Les gens commencent à parler.
People do that all the time.,Les gens font ça tout le temps.
Perhaps he knows this story.,Peut-être connaît-il cette histoire.
Perhaps he missed the train.,Peut-être a-t-il manqué le train.
Pickpockets target tourists.,Les tire-laines ciblent les touristes.
Pickpockets target tourists.,Les voleurs à la tire ciblent les touristes.
Playing tennis is his hobby.,Jouer au tennis est son hobby.
Please call before you come.,Je te prie d'appeler avant de venir.
Please call before you come.,Je vous prie d'appeler avant de venir.
Please come see me tomorrow.,Venez me voir demain s'il vous plait.
Please contact me by letter.,Veuillez me contacter par lettre.
Please correct the sentence.,"Corrigez cette phrase, s'il vous plait."
Please don't be angry at me.,Ne sois pas en colère contre moi s'il te plaît.
Please excuse my being late.,Veuillez excuser mon retard.
Please excuse my being late.,Veuillez excuser mon arrivée tardive.
Please fill out these forms.,Veuillez remplir ces formulaires.
Please find out where he is.,Veuillez trouver où il est.
Please give me a cup of tea.,Donne-moi une tasse de thé s'il te plaît.
Please give me one of these.,"Donne-m'en un, s'il te plaît."
Please give me one of these.,"Donnez-m'en un, s'il vous plaît."
Please give me one of these.,"Donne-m'en une, s'il te plaît."
Please give me one of these.,"Donnez-m'en une, s'il vous plaît."
Please let me come with you.,"S'il te plaît, emmène-moi avec toi."
Please paint the door white.,"S'il vous plait, peignez la porte en blanc."
Please pour me a little tea.,"Servez-moi un peu de thé, s'il vous plaît."
Please prepare for the trip.,Veuillez vous préparer pour le voyage.
Please prepare for the trip.,"Prépare-toi pour le voyage, je te prie."
Please refrain from smoking.,"Abstenez-vous de fumer, s'il vous plait."
Please send it to me by fax.,"S'il te plait, envoie-le-moi par fax."
Please send me another copy.,"Envoyez-moi une autre copie, s'il vous plaît."
Please show me your picture.,Montrez-moi votre photo.
Please speak in a low voice.,Veuillez parler à voix basse.
Please stop calling me that.,"Arrête de m'appeler comme ça, s'il te plaît."
Please stop calling me that.,Veuillez arrêter de m'appeler comme cela.
Please tell Tom Mary called.,"Tu peux dire à Tom que Mary a appelé, s'il te plait?"
