English words/sentences,French words/sentences
I exchanged a camera for a guitar.,J'ai échangé mon appareil-photo contre une guitare.
I expect to sing better next time.,J'espère chanter mieux la prochaine fois.
I expect you to tell me the truth.,Je m'attends à ce que tu me dises la vérité.
I explained the procedures to him.,Je lui ai expliqué les procédures.
I fail to understand his true aim.,Je n'arrive pas à comprendre son véritable objectif.
I feel inclined to agree with her.,Je suis tenté d'être en accord avec elle.
I feel like I could sleep all day.,Je sens que je pourrais dormir toute la journée.
I feel like I'm always in a hurry.,J'ai l'impression d'être tout le temps pressé.
I feel like I'm always in a hurry.,J'ai l'impression d'être tout le temps pressée.
I feel like life is passing me by.,J'ai l'impression de passer à côté de ma vie.
I feel so happy when I'm with you.,Je me sens tellement heureux lorsque je suis avec toi.
I feel so happy when I'm with you.,Je me sens tellement heureux lorsque je suis avec vous.
I feel so happy when I'm with you.,Je me sens tellement heureuse lorsque je suis avec toi.
I feel so happy when I'm with you.,Je me sens tellement heureuse lorsque je suis avec vous.
I felt my heart beating violently.,J’ai senti mon cœur battre violemment.
I felt my heart beating violently.,Je sentis mon cœur battre violemment.
I figured I could be of some help.,J'ai pensé que je pourrais être utile.
I figured I might be able to help.,Je me suis imaginée que je pourrais être en mesure de donner un coup de main.
I figured I might be able to help.,Je me suis imaginé que je pourrais être en mesure de donner un coup de main.
I figured Tom would never find it.,J'ai supposé que Tom n'allait jamais le trouver.
I figured out what the problem is.,J'ai trouvé ce qu'est le problème.
I figured that you weren't coming.,Je me suis figuré que vous ne veniez pas.
I figured that you weren't coming.,Je me suis figurée que vous ne veniez pas.
I figured that you weren't coming.,Je me suis figuré que tu ne venais pas.
I figured that you weren't coming.,Je me suis figurée que tu ne venais pas.
I figured that you'd be impressed.,Je pensais que vous seriez impressionnée.
I figured that you'd be impressed.,Je pensais que vous seriez impressionnées.
I figured that you'd be impressed.,Je pensais que vous seriez impressionnés.
I figured that you'd be impressed.,Je pensais que vous seriez impressionné.
I figured that you'd be impressed.,Je pensais que tu serais impressionnée.
I figured that you'd be impressed.,Je pensais que tu serais impressionné.
I figured that you'd want to know.,J'ai songé que tu voudrais savoir.
I figured you could use some help.,J'ai pensé que tu ne refuserais pas un coup de main.
I figured you could use some help.,J'ai pensé que vous ne refuseriez pas d'aide.
I finally found out what happened.,J'ai enfin découvert ce qui s'est passé.
I finished my work at six o'clock.,J'ai fini mon travail à six heures.
I forgot my shopping list at home.,J’ai oublié ma liste de courses à la maison.
I forgot to buy a present for Tom.,J'ai oublié d'acheter un cadeau pour Tom.
I forgot to tell Tom when to come.,J'ai oublié de dire à Tom quand venir.
I forgot to tell you when to come.,J'ai oublié de vous indiquer quand venir.
I forgot to tell you when to come.,J'ai oublié de t'indiquer quand venir.
I found a good Mexican restaurant.,J'ai trouvé un bon restaurant de cuisine mexicaine.
I found a good Mexican restaurant.,J'ai trouvé un bon restaurant mexicain.
I found the earring that you lost.,J'ai trouvé la boucle d'oreille que tu avais perdue.
I found the earring that you lost.,J'ai trouvé la boucle d'oreille que vous aviez perdue.
I found the key I was looking for.,J'ai trouvé la clef que j'avais cherchée.
I found the work very interesting.,J'ai trouvé le travail très intéressant.
I found this watch at the station.,J’ai trouvé cette montre à la gare.
I get drunk at least once a month.,Je me saoule au moins une fois par mois.
I go to any party I am invited to.,Je vais à n'importe quelle fête où je suis invité.
I go to any party I am invited to.,Je vais à n'importe quelle fête à laquelle je suis invité.
I go to any party I am invited to.,Je me rends à n'importe quelle fête où je suis invité.
I go to any party I am invited to.,Je me rends à n'importe quelle fête à laquelle je suis invité.
I go to any party I am invited to.,Je vais à n'importe quelle fête à laquelle je suis invitée.
I go to any party I am invited to.,Je me rends à n'importe quelle fête où je suis invitée.
I go to any party I am invited to.,Je vais à n'importe quelle fête où je suis invitée.
I go to the barber's once a month.,Je vais chez le coiffeur une fois par mois.
I got a famous singer's autograph.,J'ai eu l'autographe d'un chanteur célèbre.
I got a long letter from my folks.,J'ai reçu une longue lettre de mes parents.
I got a telescope for my birthday.,J'ai reçu un téléscope pour mon anniversaire.
I got a temporary job at the firm.,J'ai un job temporaire dans l'entreprise.
I got five hours sleep last night.,"J'ai dormi cinq heures, cette nuit."
I got five hours sleep last night.,"J'ai dormi cinq heures, la nuit dernière."
I got my leg hurt in the accident.,Je me suis fait mal à la jambe dans l'accident.
I got rid of all my old textbooks.,Je me suis débarrassé de tous mes vieux manuels scolaires.
I got there in time for the train.,Je suis arrivé à temps pour le train.
I graduated from Kyoto University.,J'ai été diplômé de l'université de Kyôto.
I guess I'm really in trouble now.,Je suppose que je suis vraiment en difficulté actuellement.
I guess it depends on the weather.,J'imagine que ça dépend du temps.
I guess it doesn't matter anymore.,Je suppose que ça n'a plus d'importance.
