English words/sentences,French words/sentences
Tom asked Mary if she knew John's wife.,Tom demanda à Marie si elle connaissait la femme de Jean.
Tom asked Mary to play tennis with him.,Tom a demandé à Marie de venir jouer au tennis avec lui.
Tom asked Mary who she was looking for.,Tom demanda à Mary qui elle cherchait.
Tom asked Mary who she was looking for.,Tom a demandé à Mary qui elle était en train de chercher.
Tom asked Mary why John was so unhappy.,Tom a demandé à Marie pourquoi Jean était si triste.
Tom attempted to swim across the river.,Tom tenta de traverser la rivière à la nage.
Tom believed that John was his brother.,Tom croyait que John était son frère.
Tom blew all his money on a motorcycle.,Tom a balancé son argent sur une moto.
Tom bought Mary some expensive clothes.,Tom a acheté à Marie quelques vêtements chers.
Tom brushes his teeth after every meal.,Tom se brosse les dents après chaque repas.
"Tom called Mary, but the line was busy.","Tom a appelé Mary, mais la ligne était occupée."
Tom came after everybody else had left.,Tom est venu après que tout le monde était parti.
Tom came after everybody else had left.,Tom est venu après que tous les autres étaient partis.
Tom caught the ball with his left hand.,Tom a attrapé la balle avec sa main gauche.
Tom challenged Mary to a game of chess.,Tom proposa à Mary de faire une partie d’échecs.
Tom claimed to be an expert in finance.,Tom a prétendu être un expert de la finance.
Tom claims he knows nothing about Mary.,Tom affirme ne rien savoir à propos de Mary.
Tom claims he knows nothing about Mary.,Tom affirme ne rien savoir à propos de Marie.
Tom couldn't believe what had happened.,Tom ne pouvait pas croire ce qu'il s'était passé.
Tom couldn't eat solid food for a week.,Tom n'a pas pu manger des aliments solides durant une semaine.
Tom couldn't tell what the problem was.,Tom était incapable de dire quel était le problème.
Tom cut his finger on a piece of glass.,Tom s'est coupé le doigt sur un morceau de verre.
Tom denied that he had stolen anything.,Tom nia qu'il ait volé quelque chose.
Tom did it with the best of intentions.,Tom l'a fait avec les meilleures intentions.
Tom didn't like French class very much.,Tom n'aimait pas beaucoup les cours de français.
Tom didn't understand a word Mary said.,Tom ne comprenait pas ce que Marie disait.
Tom didn't want Mary to move to Boston.,Tom ne voulait pas que Mary déménage à Boston.
Tom didn't want to throw anything away.,Tom ne voulait rien jeter.
Tom died three months ago in Australia.,Tom est mort en Australie il y a de cela trois mois.
Tom died three months ago in Australia.,Tom est mort il y a trois mois en Australie.
Tom disagrees with Mary on that matter.,Tom n'est pas d'accord avec Mary sur ce sujet.
Tom disagrees with Mary on that matter.,Tom est en désaccord avec Mary sur cette question.
Tom divorced his second wife last year.,Tom a divorcé de sa deuxième épouse l'année dernière.
Tom doesn't drive as carefully as I do.,Tom ne conduit pas aussi prudemment que moi.
Tom doesn't have either a cat or a dog.,Tom n'a ni chien ni chat.
Tom doesn't have the right to say that.,Tom n'a pas le droit de dire ça.
Tom doesn't have to come here tomorrow.,Tom n'a pas besoin de venir ici demain.
Tom doesn't know how to cook very well.,Tom ne sait pas très bien cuisiner.
Tom doesn't know how to drive a manual.,Tom ne sait pas conduire une voiture à vitesses manuelles.
Tom doesn't know which color to choose.,Tom ne sait pas quelle couleur choisir.
Tom doesn't like being told what to do.,Tom n'aime pas qu'on lui dise quoi faire.
Tom doesn't like working in the garden.,Tom n'aime pas travailler dans le jardin.
Tom doesn't live with his wife anymore.,Tom ne vit plus avec sa femme.
Tom doesn't need Mary to do that again.,Tom n'a pas besoin de Mary pour faire ça à nouveau.
Tom doesn't really want me to help him.,Tom ne veut pas vraiment que je l'aide.
Tom doesn't seem to be very interested.,Tom ne semble pas très intéressé.
Tom doesn't understand why we did that.,Tom ne comprend pas pourquoi nous avons fait ça.
Tom doesn't want to go to school today.,Tom ne veut pas aller à l'école aujourd'hui.
Tom doesn't work as much as he used to.,Tom ne travaille plus autant qu'il le faisait.
Tom dried his hands with a small towel.,Tom s'est essuyé les mains avec une petite serviette.
Tom drove Mary to the nearest hospital.,Tom a conduit Marie vers l'hôpital le plus proche.
Tom fainted at the sight of the needle.,Tom s'est évanoui à la vue de l'aiguille.
Tom first met Mary at a cafe in Boston.,Tom a rencontré Mary pour la première fois dans un café à Boston.
Tom found it very difficult to breathe.,Tom trouva cela très difficile de respirer.
"Tom gave his all, but it wasn't enough.","Tom a tout donné, mais ça n'a pas suffit."
Tom got a call from someone named Mary.,Tom reçu un appel d'une personne qui s'appelait Mary.
Tom got almost everything he asked for.,Tom a obtenu presque tout ce qu'il voulait.
Tom got another letter from Mary today.,Tom a reçu une autre lettre de Marie aujourd'hui.
Tom got quite a few positive responses.,Tom a eu quelques réponses justes.
Tom grew up in a small fishing village.,Tom a grandi dans un petit village de pêcheurs.
Tom has been here with Mary many times.,Tom est venu ici avec Mary de nombreuses fois.
Tom has come up with another good idea.,Tom a eu une autre bonne idée.
Tom has never gotten over Mary's death.,Tom ne s'est jamais remis de la mort de Marie.
Tom has no intention of leaving Boston.,Tom n'a pas l'intention de quitter Boston.
Tom has read a lot of books about that.,Tom a lu beaucoup de livres sur le sujet.
Tom has read a lot of books about that.,Tom a lu beaucoup de livres là-dessus.
Tom has to stay in Boston this weekend.,Tom doit rester à Boston ce week-end.
Tom hasn't actually been to Boston yet.,"En fait, Tom n'a pas encore été à Boston."
Tom hasn't changed a bit since college.,Tom n'a pas changé d'un poil depuis le collège.
Tom hasn't found out yet what Mary did.,Tom n'a pas encore découvert ce que Maria a fait.
Tom hasn't played the guitar for years.,Tom n'a plus joué de guitare depuis des années.
Tom heard Mary say that she hated John.,Tom a entendu Mary dire qu'elle haïssait John.
Tom held his phone up to take a selfie.,Tom tendait son téléphone pour prendre un selfie.
Tom is a close personal friend of mine.,Tom est un des mes amis proches.
Tom is a security guard at the airport.,Tom est agent de sécurité à l'aéroport.
"Tom is a very good guitarist, isn't he?","Tom est un très bon guitariste, n'est-ce pas ?"
Tom is an experienced dental assistant.,Tom est un assistant dentaire expérimenté.
"Tom is an idiot, but I love him anyway.","Tom est un idiot, mais je l'aime quand même."
Tom is by far the smartest person here.,Tom est de loin la personne la plus intelligente ici.
Tom is definitely feeling better today.,Tom se sent vraiment mieux aujourd'hui.
Tom is fatter than when I last saw him.,Tom est plus gros que la dernière fois où je l'ai vu.
Tom is one of Mary's childhood friends.,Tom est l'un des amis d'enfance de Marie.
Tom is shorter than all of his friends.,Tom est plus petit que tous ses amis.
Tom is still in the classroom studying.,Tom est encore dans la salle de classe en train d'étudier.
Tom is the best roommate I've ever had.,Tom est le meilleur colocataire que j'ai eu.
Tom is the only person Mary knows here.,Tom est ici la seule personne que Mary connaît.
Tom is the only person who can help me.,Tom est la seule personne qui puisse m'aider.
Tom is the only person who can help me.,Tom est la seule personne qui puisse me venir en aide.
Tom is too irresponsible to have a pet.,Tom est trop irresponsable pour avoir un animal de compagnie.
Tom is too old to be living on his own.,Tom est trop vieux pour vivre seul.
Tom is very good at playing the violin.,Tom joue très bien du violon.
Tom is worried about the upcoming exam.,Tom est inquiet à cause de l'examen à venir.
Tom is worried about what might happen.,Tom est préoccupé par ce qui pourrait arriver.
Tom isn't the only one who's exhausted.,Tom n'est pas le seul à être exténué.
Tom knew he'd just made a huge mistake.,Tom savait qu'il venait de faire une énorme erreur.
Tom knew that Mary was studying French.,Tom savait que Marie étudiait le français.
Tom knows that Mary can't speak French.,Tom sait que Maria ne parle pas français.
"Tom knows what you've done, doesn't he?","Tom sait ce que tu as fait, n'est-ce pas ?"
"Tom knows what you've done, doesn't he?","Tom sait ce que vous avez fait, n'est-ce pas ?"
Tom knows why nobody came to his party.,Tom sait pourquoi personne n'est venu à sa fête.
Tom left his umbrella in the classroom.,Tom a laissé son parapluie dans la classe.
Tom lives in Australia with his mother.,Tom vit avec sa mère en Australie.
Tom looked at the painting on the wall.,Tom regarda le tableau sur le mur.
Tom made an emergency stop on the road.,Tom s'est arrêté en urgence sur le côté de la route.
Tom managed to escape through a window.,Tom réussit à s'enfuir par une fenêtre.
"Tom may be old, but he's in good shape.","Tom est peut-être vieux, mais il est en forme."
Tom never said he wanted to go with us.,Tom n'a jamais dit qu'il voulait aller avec nous.
Tom often goes to the movies with Mary.,Tom va souvent au cinéma avec Mary.
Tom often mispronounces people's names.,Tom prononce souvent mal le nom des gens.
Tom parked his car behind the building.,Tom a garé sa voiture derrière l'immeuble.
Tom parked the car behind Mary's house.,Tom a garé la voiture derrière la maison de Mary.
