English words/sentences,French words/sentences
I wonder what happened.,Je me demande ce qui s'est passé.
I wonder who it's from.,Je me demande de qui ça vient.
I wore the white dress.,J'ai porté la robe blanche.
I work as a consultant.,Je travaille en tant qu'expert.
I work at this company.,Je travaille dans cette entreprise.
I worked all this week.,Cette semaine j'ai travaillé tout le temps.
I would like this book.,Je voudrais ce livre.
I would like to see it.,Je voudrais le voir.
I would never go there.,Jamais je ne m'y rendrais.
I wouldn't bet on that.,Je ne parierais pas là-dessus.
I wouldn't bet on that.,Je ne parierais pas sur ça.
I wouldn't count on it.,Je n'y compterais pas.
I wouldn't go that far.,Je n'irais pas jusque là.
I wouldn't think of it.,Je n'y songerais pas.
I write all the lyrics.,J'écris toutes les paroles.
I wrote him to ask why.,Je lui ai écrit pour demander pourquoi.
I'd better go with you.,Je ferais mieux d'aller avec toi.
I'd better go with you.,Je ferais mieux d'aller avec vous.
I'd like a little help.,J'aimerais un peu d'aide.
I'd like a window seat.,J'aimerais un siège côté fenêtre.
I'd like to be friends.,J'aimerais que nous soyons amis.
I'd like to be friends.,J'aimerais que nous soyons amies.
I'd like to come along.,J'aimerais me joindre.
I'd like to come along.,J'aimerais venir.
I'd like to go cycling.,J'aimerais aller faire du vélo.
I'd like to have a cat.,Je voudrais avoir un chat.
I'd like to rent a car.,J'aimerais louer une voiture.
I'd like to rent a car.,"J'aimerais louer une voiture, s'il vous plaît."
I'd like to replace it.,J'aimerais le dédommager.
I'd like to see my son.,J’aimerais voir mon fils.
I'd prefer a brown one.,J'en préférerais un marron.
I'd prefer a brown one.,J'en préférerais une marron.
I'd say you're jealous.,Je dirais que tu es jaloux.
I'd say you're jealous.,Je dirais que tu es jalouse.
I'd say you're jealous.,Je dirais que vous êtes jaloux.
I'd say you're jealous.,Je dirais que vous êtes jalouse.
I'll accept your offer.,Je vais accepter votre offre.
I'll accept your offer.,Je vais accepter ton offre.
I'll be around all day.,Je serai dans les parages toute la journée.
