English words/sentences,French words/sentences
The light is on in Tom's room.,La lumière est allumée dans la chambre de Tom.
The man was arrested as a spy.,L'homme fut arrêté comme espion.
The matter is really pressing.,La question est vraiment pressante.
The mayor granted our request.,Le maire a accédé à notre demande.
The meeting has already begun.,La réunion a déjà commencé.
The money is at your disposal.,L'argent est à votre disposition.
The moon is behind the clouds.,La lune se trouve derrière les nuages.
The museum is open from 9 a.m.,Le musée est ouvert à partir de neuf heures.
The news spread like wildfire.,La nouvelle se répandit comme une traînée de poudre.
The news spread like wildfire.,La nouvelle s’est répandue comme une traînée de poudre.
The newspaper is by your side.,Le journal est de ton côté.
"The next morning, he was gone.","Le matin suivant, il était parti."
The nightmare is finally over.,Le cauchemar est enfin terminé.
The noise set the dog barking.,Le bruit a fait aboyer le chien.
The novel is worthy of praise.,Le roman mérite des éloges.
The nurse checked Tom's pulse.,L'infirmière vérifia le pouls de Tom.
The nurse gave you a sedative.,L'infirmière t'a donné un sédatif.
The nurse gave you a sedative.,L'infirmière vous a donné un sédatif.
The old man has missing teeth.,Le vieil homme est édenté.
The old man is hard to please.,Le vieux est difficile à contenter.
The opportunities are endless.,Les possibilités sont infinies.
The pain has mostly gone away.,La douleur a en majeure partie disparu.
The painting is deteriorating.,Le tableau se détériore.
The park is open to everybody.,Le parc est ouvert à tous.
The patient's in the hospital.,Le patient est à l'hôpital.
The performance began at 8:00.,La représentation commença à 8:00.
The plan is not yet finalized.,Le plan n'est pas encore ficelé.
The plane landed in the ocean.,L'avion a atterri dans l'océan.
The plane will get in on time.,L'avion arrivera à l'heure.
The pocket edition is cheaper.,L'édition de poche est moins chère.
The poet gave the girl a rose.,Le poète a donné une rose à la fille.
The police arrested three men.,La police a arrêté trois hommes.
The police broke up the crowd.,La police a dispersé la foule.
The possibilities are endless.,Les possibilités sont infinies.
The president remained in bed.,Le Président resta alité.
The price of eggs is going up.,Le prix des œufs augmente.
The price reflects the demand.,Le prix reflète la demande.
The prisoners tried to escape.,Les prisonniers ont essayé de s'enfuir.
The prisoners tried to escape.,Les prisonnières ont essayé de s'enfuir.
The prisoners tried to escape.,Les prisonniers essayèrent de s'enfuir.
The prisoners tried to escape.,Les prisonnières essayèrent de s'enfuir.
The project is not going well.,Le projet ne se déroule pas bien.
The result remains to be seen.,Il faudra voir le résultat.
The result remains to be seen.,On verra le résultat.
The rich are not always happy.,Les riches ne sont pas toujours heureux.
The river flows into the lake.,La rivière se jette dans le lac.
"The road is icy, so take care.","La route est verglacée, alors fais attention."
The road was clear of traffic.,La route était dégagée de toute circulation.
The robber bashed her head in.,Le voleur lui a fracassé la tête.
The robot went out of control.,Ce robot est devenu hors de contrôle.
The robot went out of control.,Le robot échappa au contrôle.
The room is covered with dust.,La pièce est couverte de poussière.
The room was in perfect order.,La pièce était parfaitement rangée.
The rules are about to change.,Les règles sont sur le point de changer.
The sample is not pure enough.,L'échantillon n'est pas assez pur.
The sandwiches were delicious.,Les sandwichs étaient délicieux.
The sandwiches were delicious.,Les sandwichs furent délicieux.
The scandal ruined his career.,Le scandale a ruiné sa carrière.
The ship is now in the harbor.,Le bateau est maintenant au port.
The shoes are made of leather.,Les chaussures sont faites en cuir.
The shy boy murmured his name.,Le garçon timide murmura son nom.
The situation seemed hopeless.,Il semblait que la situation était sans espoir.
The snow melted away in a day.,La neige a fondu en un jour.
The soldier groaned with pain.,Le soldat gémissait de douleur.
The squirrel climbed the tree.,L'écureuil grimpa à l'arbre.
The squirrel climbed the tree.,L'écureuil est grimpé dans l'arbre.
The station is two miles away.,La gare est à deux miles d'ici.
The stone is perfectly smooth.,La pierre est parfaitement lisse.
The students could not answer.,Les étudiants ne pouvaient pas répondre.
The summer here is quite warm.,"Ici, l'été est très chaud."
The sun is shining in the sky.,Le soleil brille dans le ciel.
The sun is the brightest star.,Le soleil est l'étoile la plus brillante.
The sun shines during the day.,Le Soleil brille durant le jour.
The town was full of activity.,La ville était pleine d'activité.
The train approached the town.,Le train approchait de la ville.
The train arrived on schedule.,Le train arriva à l'heure.
The train has not arrived yet.,Le train n'est pas encore arrivé.
The train leaves in 5 minutes.,Le train part dans cinq minutes.
The train was delayed by snow.,Le train a été retardé à cause de la neige.
The troops had plenty of arms.,Les troupes avaient plein d'armes.
The troops had plenty of arms.,Les troupes avaient beaucoup d'armes.
The troops had plenty of arms.,Les troupes avaient beaucoup de bras.
The truth is I don't like Tom.,La vérité est que je n'aime pas Tom.
The truth is I don't like you.,"La vérité, c'est que je ne t'aime pas."
The truth is I don't like you.,"La vérité, c'est que je ne vous aime pas."
The twins are very much alike.,Les jumeaux se ressemblent beaucoup.
The two women know each other.,Les deux femmes se connaissent.
The typhoon gathered strength.,Le typon se renforça.
The unexpected always happens.,L'inattendu se produit toujours.
The unexpected always happens.,L'inattendu arrive toujours.
The vase was broken to pieces.,Le vase était brisé en morceaux.
The view here is breathtaking.,La vue ici est à couper le souffle.
The war had lasted four years.,La guerre a duré quatre ans.
The war is going in our favor.,La guerre se déroule en notre faveur.
The watch keeps accurate time.,La montre tient l'heure précise.
The water came up to my knees.,L'eau arrivait au niveau de mes genoux.
The water flooded the streets.,L'eau inonda les rues.
The water flooded the streets.,L'eau a inondé les rues.
The weather is terrible today.,Il fait un temps horrible aujourd'hui.
The weather is terrible today.,Il fait dégueulasse aujourd'hui.
The weather is terrible today.,Il fait un temps vraiment moche aujourd'hui.
The whole class took the test.,Toute la classe a passé le test.
The wind is blowing very hard.,Le vent souffle violemment.
The word has several meanings.,Le mot a plusieurs significations.
The work is actually finished.,Le travail est effectivement achevé.
There also was another reason.,Il y avait aussi une autre raison.
There are 31 days in December.,Décembre a 31 jours.
There are a couple of options.,Il y a quelques options.
There are cookies in the oven.,Il y a des biscuits au four.
There are cookies in the oven.,Il y a des biscuits dans le four.
There are no stupid questions.,Il n'y a pas de questions stupides.
There are no stupid questions.,Il n'y a pas de questions bêtes.
There are rats in the kitchen.,Il y a des rats dans la cuisine.
There are statues in the park.,Il y a des statues dans le parc.
There are still some problems.,Il y a encore des problèmes.
There are three main sections.,Il y a 3 sections principales.
There is a cat in the kitchen.,Il y a un chat dans la cuisine.
There is a cat under the desk.,Il y a un chat sous le bureau.
There is a park near my house.,Il y a un parc près de chez moi.
There is an apple on the desk.,Il y a une pomme sur le bureau.
There is an apple on the desk.,Il y a une pomme sur le pupitre.
There is an apple on the desk.,Une pomme se trouve sur le bureau.
There is no grass on the moon.,Il n'y a pas d'herbe sur la lune.
There is no other explanation.,Il n'y a pas d'autre explication.
There is no shortage of ideas.,Ce ne sont pas les idées qui manquent.
There is no table in the room.,Il n'y a pas de table dans la salle.
There is snow on the mountain.,Il y a de la neige sur la montagne.
There isn't a moment to spare.,Il n'y a pas un moment à perdre.
There isn't room for everyone.,Il n'y a pas de place pour tout le monde.
There really is no comparison.,Il n'y a vraiment pas de comparaison.
There was blood on the carpet.,Il y avait du sang sur le tapis.
There was no one on the beach.,Il n'y avait personne sur la plage.
"There were few, if any, trees.",Il n'y avait presque aucun arbre.
There were flowers all around.,Il y avait des fleurs de tous côtés.
There were no more free seats.,Il n'y avait plus de places libres.
There were no more free seats.,Il n'y avait plus de fauteuils de libre.
There were no other survivors.,Il n'y avait pas d'autres survivants.
There were no taxis available.,Il n'y avait pas de taxis disponibles.
There were two pieces of cake.,Il y avait deux morceaux de gâteau.
There would be no competition.,Il n'y aurait pas de concurrence.
There'll be a lot of expenses.,Il y aura beaucoup de dépenses.
There's a bit of a wind today.,Il y a un petit peu de vent aujourd'hui.
There's a cab waiting outside.,Il y a un taxi qui attend dehors.
There's a cat under the table.,Il y a un chat sous la table.
There's a large risk involved.,Il y a là un grand risque.
There's a new sheriff in town.,Il y a un nouveau shérif en ville.
There's a river near my house.,Il y a une rivière près de ma maison.
There's been another accident.,Il y a eu un autre accident.
There's no mention of it here.,Il n'en est pas fait mention ici.
There's no need to exaggerate.,Il n'est pas nécessaire d'exagérer.
There's no problem whatsoever.,Il n'y a aucun problème du tout.
There's no room under the bed.,Il n'y a pas de place sous le lit.
There's no smoke without fire.,Il n'y a pas de fumée sans feu.
There's no such thing as luck.,"La chance, ça n'existe pas."
There's no use making excuses.,Les excuses sont inutiles.
There's no way off the island.,Il n'y a aucun moyen de quitter l'île.
There's nobody in the kitchen.,Il n'y a personne dans la cuisine.
There's nothing else I can do.,Il n'y a rien d'autre que je puisse faire.
There's nothing going on here.,Il n'y a rien qui se passe ici.
There's nothing more I can do.,Je ne peux rien faire de plus.
There's nothing new to report.,Il n'y a rien de nouveau à signaler.
There's nothing on television.,Il n'y a rien à la téloche.
There's nothing wrong with it.,Il n'y a rien de mal à ça.
"There's nothing wrong, I hope.","Il n'y a aucun souci, je l'espère."
There's one problem with this.,Il y a un problème avec ceci.
There's so much more to learn.,"Il y a tant à apprendre, encore."
These are difficult questions.,Ce sont des questions difficiles.
These containers are airtight.,Ces conteneurs sont hermétiques.
These containers are airtight.,Ces récipients sont hermétiques.
These cookies are star-shaped.,Ces gâteaux sont en forme d'étoile.
These objects are very useful.,Ces objets sont très utiles.
These paintings are beautiful.,Ces tableaux sont beaux.
These pencils need sharpening.,Ces crayons ont besoin d'être taillés.
These politicians are corrupt.,Ces politiciens sont corrompus.
These politicians are corrupt.,Ces politiciennes sont corrompues.
These shoes are too expensive.,Ces chaussures sont trop chères.
These shoes don't fit my feet.,Ces chaussures ne me vont pas.
These ties are very expensive.,Ces cravates sont très chères.
These ties are very expensive.,Ces liens coûtent très cher.
They abandoned their homeland.,Ils ont abandonné leur terre natale.
They accept students like Tom.,Ils acceptent les étudiants comme Tom.
They accept students like Tom.,Elles acceptent les étudiants comme Tom.
They acted on the information.,Ils agirent selon l'information.
They acted on the information.,Ils agirent sur la base de l'information.
They acted on the information.,Ils ont agi sur la base de l'information.
They acted on the information.,Ils ont agi selon l'information.
They all joined in the chorus.,Ils se joignirent tous au chœur.
They all joined in the chorus.,Elles se joignirent toutes au chœur.
They all laughed at his error.,Tous ont ri à son erreur.
They all laughed at his error.,Toutes ont ri à son erreur.
They all laughed at his error.,Ils rirent tous de son erreur.
They all laughed at his error.,Elles rirent toutes de son erreur.
They all laughed at his jokes.,Ils ont tous ri de ses blagues.
They all laughed at his jokes.,Elles ont toutes ri de ses blagues.
They are all college students.,Ce sont tous des étudiants de la fac.
They are all college students.,Ce sont toutes des étudiantes de la fac.
They are typical young people.,C'étaient des jeunes gens habituels.
They aren't going to help Tom.,Ils ne vont pas aider Tom.
They belong to the chess club.,Ils appartiennent au club d'échecs.
They bought quite a few books.,Ils ont acheté pas mal de livres.
They built a snowman together.,Ils ont fait un bonhomme de neige ensemble.
They burned all the documents.,Ils brûlèrent tous les documents.
They burned all the documents.,Elles ont brûlé tous les documents.
They carried water in buckets.,Ils ont porté l'eau dans des seaux.
They carried water in buckets.,Elles ont porté l'eau dans des seaux.
They carried water in buckets.,Ils portèrent l'eau dans des seaux.
They carried water in buckets.,Elles portèrent l'eau dans des seaux.
They changed it very recently.,Ils l'ont changé très récemment.
They changed it very recently.,Elles l'ont changé très récemment.
They cleared the road of snow.,Ils ont dégagé la neige de la route.
They did not have enough gold.,Ils n'avaient pas assez d'or.
They do not know how to do it.,Ils ne savent pas comment le faire.
They don't get along together.,Ils ne s'entendent pas ensemble.
They fear that he may be dead.,Ils craignent qu'il ne soit mort.
They have to repair their car.,Ils doivent réparer leur voiture.
They have to repair their car.,Elles doivent réparer leur véhicule.
They haven't learned anything.,Ils n'ont rien appris.
They invited me to play cards.,Ils m'ont invité à jouer aux cartes.
They kept their love a secret.,Ils ont gardé leur amour secret.
They left the room one by one.,Elles sortirent de la pièce une par une.
They lived happily ever after.,Ils vécurent heureux et eurent beaucoup d'enfants.
They made a list of the names.,Ils dressèrent une liste des noms.
They might be taller than you.,Ils pourraient peut-être être plus grands que vous.
They might be taller than you.,Ils pourraient peut-être être plus grands que toi.
They might be taller than you.,Elles pourraient peut-être être plus grandes que vous.
They might be taller than you.,Elles pourraient peut-être être plus grandes que toi.
They named the baby Momotarou.,Ils appelèrent le bébé Momotarou.
They probably didn't hear you.,Ils ne t'ont probablement pas entendu.
They refused to join the army.,Ils refusèrent d'entrer dans l'armée.
They say that he is very rich.,Ils disent qu'il est très riche.
"They shoot horses, don't they?","Ils tirent sur les chevaux, n'est-ce pas ?"
They showed it to our company.,Ils le montrèrent à nos convives.
They showed it to our company.,Elles le montrèrent à nos convives.
They showed it to our company.,Ils l'ont montré à nos convives.
