English words/sentences,French words/sentences
Tom and Mary came to an understanding.,Tom et Mary sont parvenus à une entente.
Tom and Mary got married last October.,Tom et Mary se sont mariés en octobre dernier.
Tom and Mary have always been friends.,Tom et Mary ont toujours été amis.
Tom and Mary look very happy together.,Tom et Marie ont l'air très heureux ensemble.
Tom and Mary went on a shopping spree.,Tom et Marie ont fait une virée shopping.
Tom and Mary weren't religious at all.,Tom et Mary n'étaient pas religieux du tout.
Tom and his wife have just had a baby.,Tom et sa femme viennent d'avoir un bébé.
Tom answered Mary's letter right away.,Tom répondit à la lettre de Mary sur l’instant.
Tom asked Mary for something to drink.,Tom a demandé quelque chose à boire à Mary.
Tom asked Mary to buy a gift for John.,Tom a demandé à Mary d'acheter un cadeau pour John.
Tom asked Mary to lend him some money.,Tom demanda à Marie de lui prêter un peu d'argent.
Tom asked Mary to lend him some money.,Tom a demandé à Marie de lui prêter un peu d'argent.
Tom bought Mary an expensive umbrella.,Tom a acheté à Mary un parapluie cher.
Tom bought a present for his daughter.,Tom a acheté un cadeau pour sa fille.
Tom can sit next to me if he wants to.,Tom peut s'asseoir à côté de moi s'il veut.
Tom can't even write his own name yet.,Tom ne peut même pas encore écrire son propre nom.
Tom can't tell Mary his real feelings.,Tom ne peut pas révéler à Marie ses véritables sentiments.
Tom could do nothing but sit and wait.,Tom ne pouvait que rester là à attendre.
Tom couldn't answer the last question.,Tom ne pouvait pas répondre à la dernière question.
Tom couldn't tell Mary what he'd seen.,Tom ne pouvait pas dire à Mary ce qu'il avait vu.
Tom cut the wire and defused the bomb.,Tom a coupé le câble et désamorcé la bombe.
Tom cut the wire and defused the bomb.,Tom a coupé le cable et a désamorcé la bombe.
Tom didn't calm down until much later.,Tom s'est calmé que bien plus tard.
Tom didn't eat the apple you gave him.,Tom n'a pas mangé la pomme que tu lui as donnée.
Tom didn't eat the apple you gave him.,Tom n'a pas mangé la pomme que vous lui avez donnée.
Tom didn't go to the lake last summer.,"Tom n'est pas allé au lac, l'été dernier."
Tom didn't know where to park his car.,Tom ne savait pas où garer sa voiture.
Tom didn't know who Mary was at first.,"Au début, Tom ne savait pas qui était Mary."
Tom didn't like the concert very much.,Tom n'a pas beaucoup aimé le concert.
Tom didn't like the concert very much.,Tom n'a pas beaucoup apprécié le concert.
Tom didn't offer me anything to drink.,Tom ne m'a rien offert à boire.
Tom didn't show up for work yesterday.,Tom n'est pas venu travailler hier.
Tom doesn't dress like everybody else.,Tom ne s'habille pas comme tout le monde.
Tom doesn't have to come here anymore.,Tom n'a plus à venir ici.
Tom doesn't know how much Mary weighs.,Tom ne sait pas combien Mary pèse.
Tom doesn't know how to tie his shoes.,Tom ne sait pas lacer ses chaussures.
Tom doesn't know much about Indonesia.,Tom ne sait pas grand-chose sur l'Indonésie.
Tom doesn't know that I won't do that.,Tom ne sait pas que je ne le ferai pas.
Tom doesn't know what this is. Do you?,Tom ne sait pas ce que c'est. Et toi ?
Tom doesn't know who the president is.,Tom ne sait pas qui est le président.
Tom doesn't like to read on the train.,Tom n'aime pas lire dans le train.
Tom doesn't look particularly pleased.,Tom n'a pas l'air trop content.
Tom doesn't remember having said that.,Tom ne se souvient pas d'avoir dit ça.
Tom doesn't think it'll rain tomorrow.,Tom ne pense pas qu'il va pleuvoir demain.
Tom doesn't think it'll snow tomorrow.,Tom ne pense pas qu'il neigera demain.
Tom doesn't think that is a good idea.,Tom ne pense pas que ce soit une bonne idée.
Tom doesn't usually show his feelings.,Tom n'a pas l'habitude de montrer ses sentiments.
Tom doesn't want Mary to get involved.,Tom ne veut pas que Marie participe.
Tom doesn't want to be seen with Mary.,Tom ne veut pas être vu avec Marie.
Tom doesn't want to go anywhere today.,Tom n'a envie d'aller nulle part aujourd'hui.
Tom doesn't want to see anybody today.,Tom ne veut voir personne aujourd'hui.
Tom drank the water that he was given.,Tom a bu l'eau qu'on lui avait donné.
Tom drinks three cups of coffee a day.,Tom boit trois tasses de café par jour.
Tom filled out the application for me.,Tom a rempli le formulaire pour moi.
Tom gave Mary the first piece of cake.,Tom a donné la première part de gâteau à Mary.
Tom grew up in a working-class family.,Tom a grandi dans une famille ouvrière.
Tom had no choice but to quit his job.,Tom n'a pas eu d'autre choix que de quitter son travail.
Tom had some very unusual experiences.,Tom a eu des expériences très inhabituelles.
Tom happens to be very good at French.,Tom est en fait très bon en français.
