English words/sentences,French words/sentences
I lost my way in the forest.,J'ai perdu mon chemin dans la forêt.
I lost my way in the forest.,Je me suis perdu dans la forêt.
I lost my way in the forest.,Je me suis perdue dans la forêt.
I lost the book you lent me.,J'ai perdu le livre que tu m'as prêté.
I love everything about Tom.,J'aime tout de Tom.
I love everything about Tom.,J'aime tout chez Tom.
I love hanging out with you.,J'adore être en ta compagnie.
I love hanging out with you.,J'adore être en votre compagnie.
I love hanging out with you.,J'adore être avec toi.
I love hanging out with you.,J'adore être avec vous.
I love her and she loves me.,Je l'aime et elle m'aime.
I love it when that happens.,J'adore que ça se produise.
I love it when that happens.,J'adore que ça arrive.
I love shopping for clothes.,J'adore acheter des vêtements.
I love sitting on the beach.,J'adore être assis sur la plage.
I love sitting on the beach.,J'adore être assise sur la plage.
I love the way you treat me.,J'aime la façon dont vous me traitez.
I made a sandwich for lunch.,J'ai fait un sandwich pour le déjeuner.
I made an informed decision.,J’ai pris ma décision en connaissance de cause.
I made that dress by myself.,J'ai fait cette robe moi-même.
I made these clothes myself.,J'ai fabriqué ce vêtement moi-même.
"I make you nervous, don't I?","Je vous rends nerveux, n'est-ce pas ?"
"I make you nervous, don't I?","Je vous rends nerveuse, n'est-ce pas ?"
"I make you nervous, don't I?","Je vous rends nerveuses, n'est-ce pas ?"
"I make you nervous, don't I?","Je te rends nerveux, n'est-ce pas ?"
"I make you nervous, don't I?","Je te rends nerveuse, n'est-ce pas ?"
I managed to get rid of him.,J'ai réussi à me débarrasser de lui.
I managed to get rid of him.,J'ai réussi à m'en débarrasser.
I met an old friend of mine.,J'ai rencontré un de mes vieux copains.
I met the president himself.,J'ai rencontré le président lui-même.
I met the principal himself.,J'ai rencontré le directeur en personne.
I met your father yesterday.,J'ai rencontré ton père hier.
I must admit I was mistaken.,Je dois admettre que je me suis trompé.
I must confess that I snore.,Je dois avouer que je ronfle.
I must help her at any cost.,Je dois l'aider à tout prix.
I must leave early tomorrow.,Je dois partir tôt demain.
I must make up for the loss.,Il faut que je compense cette perte.
I must organize my thoughts.,J'ai besoin de mettre de l'ordre dans mes idées.
I must speak with you alone.,Il me faut vous parler seul.
I must speak with you alone.,Je dois vous parler seul.
I need a box about this big.,J'ai besoin d'une boîte à peu près grande comme ça.
I need more time to prepare.,J'ai besoin de plus de temps pour me préparer.
I need somebody I can trust.,J'ai besoin de quelqu'un à qui je puisse me fier.
I need to ask you something.,Je dois te demander quelque chose.
I need to ask you something.,J'ai besoin de vous demander quelque chose.
I need to borrow some money.,Il faut que j'emprunte de l'argent.
I need to finish packing up.,Je dois finir de faire mes valises.
I need to handle this alone.,Il me faut gérer ça par moi-même.
I need to jump start my car.,Il faut que je démarre ma voiture avec les câbles.
I need to keep my eyes open.,Il faut que je garde les yeux ouverts.
I need to keep my eyes open.,Je dois garder les yeux ouverts.
I need to lose a few pounds.,Je dois perdre quelques kilos.
I need to renew my passport.,J'ai besoin de renouveler mon passeport.
I need to search for my pen.,Je dois rechercher mon stylo.
I need you to do me a favor.,J'ai besoin que tu me rendes un service.
I need you to do me a favor.,J'ai besoin que vous me rendiez un service.
I never doubted the outcome.,Je n'ai jamais douté de l'issue.
I never drink tea with milk.,Je ne bois jamais de thé au lait.
I never get sick of dancing.,Je ne me lasse jamais de danser.
I never knew his first name.,Je n'ai jamais su son prénom.
I never made such a promise.,Je n'ai jamais fait une telle promesse.
I never said you were lying.,Je n'ai jamais dit que tu mentais.
I never said you were lying.,Je n'ai jamais dit que vous mentiez.
I never should've come here.,Jamais je n’aurais dû venir ici.
I never talked to him again.,Je ne lui ai jamais reparlé.
I never want to get married.,Jamais je ne veux me marier.
