English words/sentences,French words/sentences
Do you really think Tom is better than me?,Penses-tu réellement que Tom est meilleur que moi ?
Do you really want to talk about that now?,Tu veux vraiment parler de ça maintenant ?
Do you really want to talk about that now?,Voulez-vous vraiment parler de cela maintenant ?
Do you remember the day when we first met?,Te souviens-tu du jour où nous nous sommes rencontrés pour la première fois ?
Do you remember the day when we first met?,Te souviens-tu du jour où l'on s'est rencontré ?
Do you remember the day when we met first?,Tu te souviens de notre première rencontre ?
Do you remember the time we went to Paris?,Te souviens-tu de la fois où nous sommes allés à Paris ?
Do you remember the time we went to Paris?,Te souviens-tu de l'époque où nous sommes allés à Paris ?
Do you remember the time we went to Paris?,Te souviens-tu de l'époque où nous sommes allées à Paris ?
Do you remember the time we went to Paris?,Vous souvenez-vous de l'époque où nous sommes allés à Paris ?
Do you remember the time we went to Paris?,Vous souvenez-vous de l'époque où nous sommes allées à Paris ?
Do you spend more time at home or at work?,Passes-tu davantage de temps chez toi ou au travail ?
Do you spend more time at home or at work?,Passes-tu davantage de temps à la maison ou au travail ?
Do you spend more time at home or at work?,Passez-vous davantage de temps chez vous ou au travail ?
Do you spend more time at home or at work?,Passez-vous davantage de temps à la maison ou au travail ?
Do you still want to go to the lighthouse?,Veux-tu encore aller jusqu'au phare ?
Do you think I don't know what's going on?,Tu crois que je vois pas ce qui se passe ?
Do you think it will be nice out tomorrow?,"Penses-tu qu'il fera beau demain, dehors ?"
Do you think you've made the wrong choice?,Penses-tu que tu as fait le mauvais choix ?
Do you think you've made the wrong choice?,Pensez-vous avoir fait le mauvais choix ?
Do you think your money is safe in a bank?,Penses-tu que ton argent est en sécurité dans une banque ?
Do you think your money is safe in a bank?,Pensez-vous que votre argent est en sécurité dans une banque ?
Do you understand what I am saying to you?,Comprenez-vous ce que je vous dis ?
Do you understand what I am saying to you?,Comprends-tu ce que je te dis ?
Do you want me to come cook you something?,Veux-tu que je vienne te cuisiner quelque chose ?
Do you want me to come cook you something?,Voulez-vous que je vienne vous cuisiner quelque chose ?
Do you want me to come cook you something?,Veux-tu que je vienne vous cuisiner quelque chose ?
Does anyone know the name of the deceased?,Quelqu'un connaît-il le nom du défunt ?
Does anyone know the name of the deceased?,Quelqu'un connaît-il le nom de la défunte ?
Does this mean you won't be sleeping here?,Cela signifie-t-il que tu ne dormiras pas ici ?
Does this mean you won't be sleeping here?,Cela signifie-t-il que vous ne dormirez pas ici ?
Don't argue with a woman when she's tired.,Il ne faut pas se disputer avec une femme lorsqu'elle est fatiguée.
Don't believe her because she always lies.,"Ne la crois pas, parce qu'elle ment toujours."
Don't do too many things at the same time.,Ne faites pas trop de choses en même temps.
Don't fish in this river. It's prohibited.,Ne pêche pas dans cette rivière. C'est défendu.
Don't fish in this river. It's prohibited.,Ne pêchez pas dans cette rivière. C'est défendu.
Don't forget to extinguish your cigarette.,N'oubliez pas d'éteindre votre cigarette.
Don't forget to take an umbrella with you.,N'oublie pas d'apporter un parapluie.
Don't interfere in other people's affairs.,Ne vous mêlez pas des affaires des autres.
Don't leave the room with the window open.,Ne sors pas de la pièce en laissant la fenêtre ouverte.
Don't tell me you don't know how to drive.,Ne me dis pas que tu ne sais pas conduire.
Don't touch anything without asking first.,Ne touche à rien sans demander d'abord.
Don't you have anything smaller than this?,N'avez-vous pas quelque chose de plus petit que ça ?
Don't you think this hat looks good on me?,Ne penses-tu pas que ce chapeau me va bien ?
Don't you think this hat looks good on me?,Ne penses-tu pas que ce chapeau me sied ?
Don't you think this hat looks good on me?,Ne pensez-vous pas que ce chapeau me sied ?
Don't you think this hat looks good on me?,Ne pensez-vous pas que ce chapeau me va bien ?
Don't you think we should call the police?,Ne pensez-vous pas que nous devrions appeler la police ?
Don't you think we should call the police?,Tu ne penses pas qu'on devrait appeler la police ?
Don't you understand what's going on here?,"Ne comprends-tu pas ce qui se passe, ici ?"
Don't you understand what's going on here?,"Ne comprends-tu pas ce qui est en train de se passer, ici ?"
Don't you understand what's going on here?,"Ne comprenez-vous pas ce qui se passe, ici ?"
Don't you understand what's going on here?,"Ne comprenez-vous pas ce qui est en train de se passer, ici ?"
"Each member has to pay 10,000 yen a month.",Chaque membre doit payer 10 000 yens par mois.
Each of us has to be careful when driving.,Chacun d'entre nous doit être prudent lors qu'il conduit.
Each of us has to be careful when driving.,Chacun d'entre nous doit être prudent lorsqu'il conduit.
Each of us has to be careful when driving.,Chacun d'entre nous doit être prudent quand il conduit.
Employers sometimes exploit their workers.,Les employeurs exploitent parfois leurs travailleurs.
Europe has a smaller population than Asia.,L'Europe comporte une population plus faible que l'Asie.
"Eventually, my curiosity overcame my fear.","Finalement, ma curiosité a surmonté ma crainte."
Every family has a skeleton in the closet.,Chaque famille a un squelette dans son placard.
Every member but me believes what he says.,"À part moi, tous les membres croient à ce qu'il dit."
Everyone except me knew what was going on.,Tout le monde sauf moi savait ce qu'il se passait.
"Everyone is insane, in his or her own way.","Tout le monde est fou, chacun à sa manière."
Everyone wants to be young and attractive.,Tout le monde veut être jeune et séduisant.
Everyone wants to meet you. You're famous!,"Tout le monde veut te rencontrer, tu es célèbre !"
Everyone wants to meet you. You're famous!,"Tout le monde veut vous rencontrer, vous êtes célèbres !"
Everyone's eyes were fixed on the screens.,Tous les yeux étaient braqués sur les écrans.
Everything must be handled very carefully.,Tout doit être traité avec beaucoup de prudence.
"Excuse me, what is the name of this place?","Excusez-moi, quel est le nom de cet endroit ?"
Farmers always complain about the weather.,Les paysans se plaignent toujours du temps.
Feel free to call me if you need anything.,N'hésite pas à m'appeler si tu as besoin de quoi que ce soit.
Feel free to call me if you need anything.,N'hésitez pas à m'appeler si vous avez besoin de quoi que ce soit.
Few people live to be more than a hundred.,Peu de gens vivent au-delà de cent ans.
Finish your homework before you go to bed.,Finis tes devoirs avant d'aller au lit.
"First, I want to eat a little bit of cake.","D'abord, je veux manger un peu de gâteau."
Five minutes' walk brought us to the park.,Cinq minutes de marche nous amenèrent au parc.
"For goodness' sake, please be nice to him.","Pour l'amour de Dieu, sois gentil avec lui."
Fortunately he didn't die in the accident.,Heureusement il n'est pas mort dans l'accident.
"Frankly, I don't like what you're wearing.","Franchement, je n'aime pas ce que tu portes."
French has many more vowels than Japanese.,Le français a beaucoup plus de voyelles que le japonais.
French is not all that difficult to learn.,Le français n'est pas si difficile à apprendre.
"From now on, I'm going to be here for you.","Désormais, je vais être là pour toi."
"From now on, I'm going to be here for you.","Désormais, je vais être là pour vous."
"From year to year, pollution is worsening.","D'année en année, la pollution empire."
Gas was escaping from a crack in the pipe.,L'essence s'échappait d'une fissure dans le tube.
