English words/sentences,French words/sentences
Was it really necessary to do that?,Était-il vraiment nécessaire de faire cela ?
Water pollution is another problem.,La pollution de l'eau est un autre problème.
We all need help from time to time.,Nous avons tous besoin d'aide de temps à autre.
We always have to follow the rules.,Nous devons toujours suivre les règles.
We apologize for any inconvenience.,Nous présentons nos excuses pour le moindre dérangement.
We are about to sit down to dinner.,Nous sommes sur le point de nous mettre à table pour dîner.
We are about to sit down to dinner.,Nous sommes sur le point de nous mettre à table pour souper.
We are accustomed to wearing shoes.,Nous sommes habitués à porter des chaussures.
We are accustomed to wearing shoes.,Nous sommes habituées à porter des chaussures.
We are all eager to know the truth.,Nous sommes tous avides de connaître la vérité.
We are in the era of atomic energy.,Nous sommes à l'ère de l'énergie nucléaire.
We are looking for a place to stay.,Nous sommes à la recherche d'un endroit où séjourner.
We are playing tennis this weekend.,"Nous jouons au tennis, ce week-end."
We are sorry for the inconvenience.,Nous sommes désolés pour le dérangement.
We are sorry for the inconvenience.,Nous sommes désolées pour le dérangement.
We are traveling on a tight budget.,Nous voyageons avec un budget serré.
We are traveling on a tight budget.,Nous voyageons à petit budget.
We believe in the existence of God.,Nous croyons en l'existence de Dieu.
We both know what needs to be done.,Nous savons tous les deux ce qui doit être fait.
We both know you don't belong here.,Nous savons tous les deux que tu n'as pas ta place ici.
We can talk about it in the future.,Nous pouvons en parler à l'avenir.
We can't do this without some help.,Nous n'arrivons pas à le faire sans aide.
We can't do this without some help.,Nous ne pouvons pas le faire sans aide.
We can't do this without some help.,Nous ne pouvons le faire sans aide.
We can't keep on fooling ourselves.,Nous ne pouvons pas continuer à nous abuser.
We can't put a young boy in prison.,Nous ne pouvons pas mettre un jeune garçon derrière les barreaux.
We can't put a young boy in prison.,Nous ne pouvons pas mettre un jeune garçon en prison.
We can't say any more at this time.,Nous ne pouvons pas en dire plus pour le moment.
We captured some of the terrorists.,Nous avons capturé certains des terroristes.
We didn't go to bed until midnight.,Nous ne nous sommes pas couchés avant minuit.
We didn't have any customers today.,Nous n'avons eu aucun client aujourd'hui.
We discussed the problem at length.,Nous discutâmes longuement du problème.
We discussed the problem at length.,Nous avons discuté longuement du problème.
We discussed the subject at length.,Nous discutons du sujet en détail.
We don't go to school on Saturdays.,Nous n'allons pas à l'école le samedi.
We don't have any eggs left either.,Nous non plus n'avons plus d'œufs.
We don't have to do this every day.,Nous ne sommes pas obligés de faire ça tous les jours.
We don't need to do this every day.,On n'a pas besoin de faire ça tous les jours.
We don't need to do this every day.,Nous n'avons pas besoin de faire cela tous les jours.
We don't negotiate with terrorists.,Nous ne négocions pas avec des terroristes.
We don't want to cause any trouble.,Nous ne voulons causer aucun ennui.
