English words/sentences,French words/sentences
Who's your favorite movie director?,Qui est votre metteur en scène préféré ?
Who's your most interesting friend?,Quel est ton ami le plus intéressant ?
Who's your most interesting friend?,Quel est celui de tes amis le plus intéressant ?
Whose turn is it to deal the cards?,C'est à qui de distribuer ?
Whose turn is it to deal the cards?,À qui le tour de donner les cartes ?
Why are we even talking about this?,"Pourquoi en parlons-nous, même ?"
Why are we even talking about this?,Pourquoi même en parlons-nous ?
Why are you asking these questions?,Pourquoi posez-vous ces questions ?
Why are you asking these questions?,Pourquoi est-ce que tu poses ces questions ?
Why are you burning these pictures?,Pourquoi est-ce que tu brules ces photos ?
Why are you burning these pictures?,Pourquoi êtes-vous en train de brûler ces photos ?
Why are you looking at me that way?,Pourquoi me regardes-tu ainsi ?
Why are you selling this furniture?,Pourquoi vendez-vous ce meuble ?
Why are you wasting time with this?,Pourquoi perds-tu ton temps avec ça ?
Why are you wasting time with this?,Pourquoi perdez-vous votre temps avec ceci ?
Why aren't you doing your homework?,Pourquoi n'es-tu pas en train de faire tes devoirs ?
Why aren't you doing your homework?,Pourquoi n'êtes-vous pas en train de faire vos devoirs ?
Why did you accept this assignment?,Pourquoi avez-vous accepté cette mission ?
Why did you accept this assignment?,Pourquoi as-tu accepté cette mission ?
Why did you want to come back here?,Pourquoi as-tu voulu revenir ici ?
Why did you want to come back here?,Pourquoi avez-vous voulu revenir ici ?
Why didn't we think of that before?,Pourquoi n'avons-nous pas pensé à ça avant ?
Why didn't you just take the money?,Pourquoi n'as-tu pas juste pris l'argent ?
Why didn't you just take the money?,Pourquoi n'avez-vous pas juste pris l'argent ?
Why didn't you just tell the truth?,Pourquoi n'avez-vous pas simplement dit la vérité ?
Why didn't you phone before coming?,Pourquoi n'as-tu pas téléphoné avant de venir ?
Why didn't you phone before coming?,Pourquoi n'avez-vous pas téléphoné avant de venir ?
Why didn't you talk to me about it?,Pourquoi ne m'en avez-vous pas parlé ?
Why didn't you talk to me about it?,Pourquoi ne m'en as-tu pas parlé ?
Why didn't you turn up on Saturday?,Pourquoi tu n'es pas venu samedi ?
Why do I have to do this by myself?,Pourquoi dois-je le faire seul ?
Why do I have to do this by myself?,Pourquoi dois-je le faire tout seul ?
Why do I have to do this by myself?,Pourquoi dois-je le faire seule ?
Why do I have to do this by myself?,Pourquoi dois-je le faire toute seule ?
Why do you want me to wait in here?,Pourquoi veux-tu que j'attende là-dedans ?
Why do you want me to wait in here?,Pourquoi voulez-vous que j'attende là-dedans ?
Why do you want to dress like that?,Pourquoi veux-tu t'habiller ainsi ?
Why do you want to dress like that?,Pourquoi voulez-vous vous habiller ainsi ?
Why does Tom want this information?,Pourquoi Tom veut-il cette information ?
Why does everyone think I'm stupid?,Pourquoi est-ce que tout le monde pense que je suis stupide ?
Why doesn't Tom want to go with us?,Pourquoi Tom ne veut-il pas aller avec nous ?
Why doesn't your dog wear a muzzle?,Pourquoi votre chien ne porte-t-il pas de muselière ?
Why don't we go somewhere together?,Pourquoi n'allons-nous pas quelque part ensemble ?
Why don't you come dancing with me?,Pourquoi ne venez-vous pas danser avec moi ?
Why don't you go to school with us?,Pourquoi ne vas-tu pas à l'école avec nous ?
Why don't you lie down for a while?,Pourquoi ne t'allonges-tu pas un moment ?
Why don't you lie down for a while?,Pourquoi ne vous allongez-vous pas un moment ?
Why don't you lie down for a while?,Pourquoi ne t'étends-tu pas un moment ?
