English words/sentences,French words/sentences
It can be frustrating.,Ça peut être frustrant.
It could be dangerous.,Ça pourrait être dangereux.
It could be dangerous.,Cela pourrait être dangereux.
It could have been me.,Ça aurait pu être moi.
It could rain tonight.,Il se pourrait qu'il pleuve ce soir.
It didn't hurt at all.,Ça n'a pas fait mal du tout.
It didn't really hurt.,Ça n'a pas vraiment fait mal.
It doesn't look right.,Ça n'a pas l'air juste.
It doesn't look right.,Ça n'a pas l'air correct.
It feels like a dream.,On dirait un rêve.
It feels like a dream.,On se croit dans un rêve.
It feels like a dream.,On se sent comme dans un rêve.
It frosted last night.,Il a gelé la nuit dernière.
It gave me the creeps.,Cela me donne la chair de poule.
It gave me the creeps.,Ça m'a foutu les jetons.
It happened in Boston.,Ça s'est passé à Boston.
It happened very fast.,Ça s'est passé très vite.
It happened very fast.,Ça s'est produit très rapidement.
It happened very fast.,C'est survenu très rapidement.
It happened very fast.,C'est arrivé très vite.
It has been confirmed.,Cela a été confirmé.
It has been wonderful.,Ça a été merveilleux.
It is a luxury cruise.,C'est une croisière de luxe.
It is a very sad tale.,C'est une bien triste histoire.
It is a very sad tale.,C'est une histoire très triste.
It is beyond my power.,Ceci est en dehors de mon pouvoir.
It is good to see you.,C'est bon de te voir.
It is good to see you.,C'est bon de vous voir.
It is raining heavily.,Il pleut fortement.
It is still too early.,Il est encore trop tôt.
It is too hot to work.,Il fait trop chaud pour travailler.
It is too late for me.,C'est trop tard pour moi.
It is true in a sense.,"C'est vrai, en un sens."
It is true in a sense.,"En un sens, c'est vrai."
It is under the chair.,Il est sous la chaise.
It is under the chair.,Elle est sous la chaise.
It is very cold today.,Il fait très froid aujourd'hui.
It is what I would do.,C'est ce que je ferais.
It just doesn't count.,Ça ne compte pas.
It just doesn't count.,Ça ne compte tout simplement pas.
It looks great so far.,Ça a l'air très bien jusqu'à présent.
It made me very happy.,Ça m'a rendu très heureux.
It made me very happy.,Ça m'a rendue très heureuse.
It made no difference.,Ça ne faisait aucune différence.
It made no difference.,Ça ne fit aucune différence.
It may not be a dream.,Il se peut que ce ne soit pas un rêve.
It might prove useful.,Ça peut se révéler utile.
It might snow tonight.,Il va peut-être neiger ce soir.
It really was crowded.,C'était vraiment bondé.
It reminded me of you.,Ça m'a rappelé toi.
It reminded me of you.,Ça m'a rappelé vous.
It reminded me of you.,Ça m'a fait penser à toi.
It reminded me of you.,Ça m'a fait penser à vous.
It reminded me of you.,Ça m'a fait me souvenir de toi.
It reminded me of you.,Ça m'a fait me souvenir de vous.
"It scared me, too, OK?","Moi aussi, j'ai eu peur. D'accord ?"
It seemed appropriate.,Ça semblait approprié.
It seemed appropriate.,Ça paraissait approprié.
It seems quiet enough.,Ça a l'air assez calme.
It seems warm outside.,Il a l'air de faire bon dehors.
It seems well written.,Ça à l'air bien écrit.
It serves our purpose.,Ça sert notre objectif.
It smells like bleach.,Ça sent comme la javel.
It snowed all weekend.,Il a neigé tout le week-end.
It started as a hobby.,Ça a commencé comme un passe-temps.
It started as a hobby.,Ça commença comme un passe-temps.
It tastes really good.,C'est très bon.
It was Saturday night.,C'était samedi soir.
It was a church event.,C'était un événement religieux.
It was a forced smile.,C'était un sourire emprunté.
It was a forced smile.,C'était un sourire forcé.
It was a good example.,C'était un bon exemple.
It was a group effort.,C'était un effort de groupe.
It was a huge project.,C'était un gros projet.
It was a huge success.,Ce fut un immense succès.
It was a huge success.,Ça a été un immense succès.
It was a little scary.,C'était un peu lugubre.
It was a little scary.,C'était un peu macabre.
