English words/sentences,French words/sentences
Would you like to visit the White House someday?,Aimerais-tu visiter la Maison-Blanche un jour ?
Would you like to visit the White House someday?,Aimeriez-vous visiter la Maison-Blanche un jour ?
Would you mind carrying it up the stairs for me?,Voudriez-vous le porter au haut de l'escalier pour moi ?
Would you please speak a little bit more slowly?,"Pourriez-vous parler un peu plus lentement, s'il vous plaît ?"
You are not allowed to turn left on this street.,On n'a pas le droit de tourner à gauche dans cette rue.
You are the last person that I expected to meet.,Tu es la dernière personne que je m'attendais à rencontrer.
You burnt a hole in my coat with your cigarette.,Vous avez fait un trou dans mon manteau avec votre cigarette.
You can go from Washington to New York by train.,Vous pouvez aller de Washington à New York en train.
You can't just come here without an appointment.,Vous ne pouvez pas simplement venir ici sans rendez-vous.
You can't just come here without an appointment.,Tu ne peux pas simplement venir ici sans rendez-vous.
You can't just come here without an appointment.,Tu ne peux pas simplement te pointer ici sans rendez-vous.
You can't live your life under these conditions.,On ne peut mener sa vie dans ces conditions.
You cannot kill yourself by holding your breath.,Tu ne peux pas te tuer en retenant ta respiration.
"You gave Tom the money he asked for, didn't you?","Vous avez donné à Tom l'argent qu'il a demandé, n'est-ce pas ?"
"You have a choice of black tea, coffee, or milk.","Vous avez le choix entre du thé noir, du café ou du lait."
You look like you've just lost your best friend.,On dirait que tu viens de perdre ton meilleur ami.
You may catch sight of our house from the train.,Tu peux apercevoir notre maison du train.
You may catch sight of our house from the train.,Vous pouvez apercevoir notre maison du train.
You must not forget to wake me tomorrow morning.,N'oubliez pas de me réveiller demain matin.
You need another ten dollars to buy that camera.,Tu as encore besoin de dix dollars pour acheter cet appareil photo.
You need to be strong to do something like that.,Tu as besoin d’être fort pour faire quelque chose comme ça.
You need to eat something before you go to work.,Tu dois manger quelque chose avant d'aller travailler.
You need to eat something before you go to work.,Vous devez manger quelque chose avant d'aller au travail.
You should assume that Tom won't help us at all.,Tu devrais admettre que Tom ne nous aiderait pas du tout.
You should be careful in your choice of friends.,Tu devrais être circonspect dans le choix de tes amis.
You should be proud of what you've accomplished.,Tu devrais être fier de ce que tu as accompli.
You should be proud of what you've accomplished.,Vous devriez être fiers de ce que vous avez accompli.
You should be proud of what you've accomplished.,Vous devriez être fière de ce que vous avez accompli.
You should have a doctor examine your condition.,Vous devriez vous faire examiner par un docteur.
You should have a doctor examine your condition.,Vous devriez voir un docteur.
You should have introduced yourself to the girl.,Tu aurais dû te présenter à la fille.
You should have refused such an unfair proposal.,Tu aurais dû refuser une proposition aussi injuste.
