English words/sentences,French words/sentences
He doesn't carry much baggage on his trips.,Il ne prend pas beaucoup de bagages en voyage.
He doesn't seem to be heading for the town.,Il ne semble pas se diriger vers la ville.
He doesn't tolerate that type of behaviour.,Il ne supporte pas ce type de comportement.
He found it difficult to solve the problem.,Il trouva difficile de résoudre le problème.
He found it impossible to go there on foot.,Il jugea impossible de s'y rendre à pied.
He gave back all the money he had borrowed.,Il rendit tout l'argent qu'il avait emprunté.
He gave us not only clothes but some money.,"Il nous donna non seulement des habits, mais aussi un peu d'argent."
He gives an apple to the teacher every day.,Il donne chaque jour une pomme à l'instituteur.
He got a prize for winning the competition.,Il reçut un prix pour avoir remporté le concours.
He had served as a congressman and senator.,Il avait servi comme député et sénateur.
He had served as a congressman and senator.,Il avait servi en tant que député et sénateur.
He had to share a bedroom with his brother.,Il dut partager une chambre avec son frère.
He had to share a bedroom with his brother.,Il a dû partager une chambre avec son frère.
He had to share a bedroom with his brother.,Il lui fallut partager une chambre avec son frère.
He had to share a bedroom with his brother.,Il lui a fallu partager une chambre avec son frère.
He handed over all his property to his son.,Il remit toute sa propriété à son fils.
He has a chance of equaling the old record.,Il a une chance d'égaler l'ancien record.
He has been living in Ankara for six years.,Il vit à Ankara depuis six ans.
He has enough ability to manage a business.,Il a suffisamment de talent pour gérer une affaire.
He has enough ability to manage a business.,Il est assez apte à gérer une affaire.
He has gathered a small army of volunteers.,Il a rassemblé une petite armée de volontaires.
He has made remarkable progress in English.,Il a fait des progrès considérables en anglais.
He has none of his father's aggressiveness.,Il n'a rien de l'agressivité de son père.
He has not written to them for a long time.,Il ne leur a pas écrit depuis longtemps.
He has some experience in teaching English.,Il a déjà enseigné l'anglais.
He has the backing of a certain politician.,Il a l'appui d'un certain politicien.
He has the backing of a certain politician.,Il jouit de l'appui d'un certain politicien.
He has the bad habit of chewing his pencil.,Il a la mauvaise habitude de mâchouiller son crayon.
He has three times as many books as I have.,Il a trois fois plus de livres que j'en ai.
He helped an old lady get up from her seat.,Il a aidé une vieille femme à se lever de son siège.
He hopes to exhibit his paintings in Japan.,Il espère exposer ses peintures au Japon.
He is absorbed in reading detective novels.,Il est absorbé à lire des romans de détectives.
He is absorbed in reading detective novels.,Il est captivé par sa lecture de romans policiers.
He is going to buy a new bicycle next week.,Il va acheter un nouveau vélo la semaine prochaine.
He is much better than me at the high jump.,Il est bien meilleur que moi au saut en hauteur.
He is not ashamed of his father being poor.,Il n'a pas honte que son père soit pauvre.
He is one of the greatest artists in Japan.,C'est l'un des plus grands artistes au Japon.
