English words/sentences,French words/sentences
We can't do it now.,Nous ne pouvons pas le faire maintenant.
We can't stay here.,Nous ne pouvons pas rester là.
We can't stay here.,Nous ne pouvons pas rester ici.
We chartered a bus.,Nous affrétâmes un car.
We chartered a bus.,Nous avons affrété un car.
We chatted briefly.,On a discuté brièvement.
We considered that.,Nous avons songé à ça.
We didn't kill Tom.,Nous n'avons pas tué Tom.
We do not know her.,Nous ne la connaissons pas.
We don't have long.,Nous n'avons pas beaucoup de temps.
We don't have that.,Nous n'avons pas cela.
We don't have that.,On n'a pas ça.
We don't like rain.,Nous n'aimons pas la pluie.
We don't need that.,Nous n'avons pas besoin de ça.
We don't trust Tom.,Nous ne faisons pas confiance à Tom.
We drank all night.,Nous bûmes toute la nuit.
We drank all night.,Nous avons bu toute la nuit.
We drank some wine.,Nous bûmes du vin.
We drank some wine.,Nous avons bu du vin.
We enjoyed skating.,Nous avons eu plaisir à patiner.
We enjoyed skating.,Nous avons pris plaisir à patiner.
We feel frustrated.,Nous nous sentons frustrés.
We followed orders.,Nous avons suivi les ordres.
We found her alive.,Nous l'avons trouvée vivante.
We found him alive.,Nous l'avons trouvé vivant.
We found something.,Nous trouvâmes quelque chose.
We found something.,Nous avons trouvé quelque chose.
We found something.,On a trouvé quelque chose.
We grow wheat here.,Nous faisons pousser du blé ici.
We grow wheat here.,"Ici, nous cultivons le blé."
We had fun with it.,Nous nous en sommes amusés.
We had fun with it.,Nous nous en sommes amusées.
We had lunch early.,Nous avons déjeuné tôt.
We have a contract.,Nous avons un contrat.
We have a deadline.,Nous avons une date butoir.
We have a deadline.,Nous avons une échéance.
We have a prisoner.,Nous avons un prisonnier.
We have a surprise.,Nous avons une surprise.
We have lots to do.,Nous avons beaucoup à faire.
We have more to do.,Nous avons davantage à faire.
We have no comment.,Nous n'avons aucun commentaire.
We have no secrets.,Nous n'avons pas de secrets.
We have three sons.,Nous avons trois garçons.
We have to act now.,Nous devons agir maintenant.
We have to do this.,Nous devons faire ceci.
We have work to do.,Nous avons du travail à faire.
We heard a gunshot.,Nous entendîmes un coup de feu.
We heard a gunshot.,Nous avons entendu un coup de feu.
We heard a gunshot.,Nous entendîmes une détonation.
We heard a gunshot.,Nous avons entendu une détonation.
We kept them quiet.,Nous les tînmes tranquilles.
We know each other.,Nous nous connaissons.
We know everything.,Nous savons tout.
We listen to music.,Nous écoutons de la musique.
We lost our chance.,Nous avons raté notre chance.
We love each other.,Nous nous aimons l'un l'autre.
We love what we do.,Nous aimons ce que nous faisons.
We made sacrifices.,Nous avons fait des sacrifices.
We made sacrifices.,Nous avons consenti des sacrifices.
We made sure of it.,Nous nous en sommes assurés.
We made sure of it.,Nous nous en sommes assurées.
We made you a cake.,On t'a fait un gâteau.
We missed the exit.,Nous avons loupé la sortie.
We moved last year.,Nous avons déménagé l'année dernière.
We need a strategy.,Il nous faut une stratégie.
We need assistance.,Nous avons besoin d'aide.
We need everything.,Nous avons besoin de tout.
We need some money.,Nous avons besoin d'argent.
We need to do this.,Nous devons faire ça.
We need to do this.,Nous avons besoin de faire ceci.
We needed this win.,Nous avions besoin de cette victoire.
We prayed together.,Nous avons prié ensemble.
We ran in the park.,Nous courûmes dans le parc.
We ran out of food.,Nous fûmes à court de nourriture.
We remained silent.,Nous sommes restés silencieux.
We remained silent.,Nous sommes restées silencieuses.
We sacrifice a lot.,Nous sacrifions beaucoup.
We saved your life.,Nous t'avons sauvé la vie.
We saved your life.,Nous vous avons sauvé la vie.
We should hang out.,On devrait sortir.
We should hang out.,On devrait aller traîner.
We should sit down.,Nous devrions nous asseoir.
We should try that.,On devrait essayer ça.
We should try that.,Nous devrions essayer cela.
We started singing.,Nous nous sommes mis à chanter.
We started to walk.,Nous commençâmes à marcher.
We swam in the sea.,Nous avons nagé dans la mer.
We swam in the sea.,Nous nageâmes dans la mer.
We talk frequently.,Nous discutons fréquemment.
We talked about it.,Nous en avons parlé.
We took a mud bath.,Nous avons pris un bain de boue.
We understand this.,Nous le comprenons.
We want more money.,Nous voulons davantage d'argent.
We want to be fair.,Nous voulons être équitables.
We want to hear it.,Nous voulons l'entendre.
We washed our feet.,Nous nous lavons les pieds.
We watched a movie.,Nous avons regardé un film.
We watched a movie.,Nous avons vu un film.
We went for a walk.,Nous avons fait une promenade.
We went for a walk.,Nous sommes allés nous promener.
We went to a movie.,Nous allâmes voir un film.
We went to a movie.,Nous sommes allés voir un film.
We went to a movie.,Nous sommes allées voir un film.
We went to the zoo.,Nous sommes allés au zoo.
We went to the zoo.,Nous sommes allées au zoo.
We were both drunk.,Nous étions toutes deux saoules.
We were both drunk.,Nous étions tous deux saouls.
We were both drunk.,Nous étions saouls tous les deux.
We were both drunk.,Nous étions saoules toutes les deux.
We were both drunk.,Nous étions tous deux ivres.
We were both tired.,Nous étions tous les deux fatigués.
We were both tired.,Nous étions toutes les deux fatiguées.
We were both wrong.,Nous avions tout les deux tort.
We were both wrong.,On se trompait tous les deux.
We were just going.,Nous étions justement sur le point d'y aller.
We were passengers.,Nous étions passagers.
We were passengers.,Nous étions des passagers.
We were so worried.,Nous étions si inquiets.
We were so worried.,Nous étions si inquiètes.
We were undefeated.,Nous étions invaincus.
We were very close.,Nous étions très proches.
We were very lucky.,Nous avons été très chanceux.
We were very lucky.,Nous avons été très chanceuses.
We were very tired.,Nous étions très fatiguées.
We won't be judged.,Nous ne serons pas jugés.
We won't be judged.,Nous ne serons pas jugées.
We worked together.,Nous travaillions ensemble.
We worked together.,Nous avons travaillé ensemble.
We'd like to leave.,Nous aimerions partir.
We'll all be there.,Nous serons tous là.
We'll all be there.,Nous serons toutes là.
We'll all be there.,Nous y serons tous.
We'll all be there.,Nous y serons toutes.
We'll be just fine.,Ça ira bien pour nous.
We'll be neighbors.,Nous serons voisins.
We'll convince Tom.,Nous convaincrons Tom.
We'll decide later.,Nous déciderons plus tard.
We'll decide later.,Nous en déciderons plus tard.
We'll decide later.,On décidera plus tard.
We'll finish later.,Nous finirons plus tard.
We'll give it back.,On va le rendre.
We'll give it back.,Nous allons le rendre.
We're a big family.,Nous sommes une grande famille.
We're all born mad.,Nous sommes tous nés fous.
We're all infected.,Nous sommes tous infectés.
We're all infected.,Nous sommes toutes infectées.
We're all students.,Nous sommes tous étudiants.
We're all students.,Nous sommes toutes étudiantes.
We're all the same.,Nous sommes tous les mêmes.
We're all the same.,Nous sommes toutes les mêmes.
We're almost ready.,Nous sommes presque prêts.
We're almost ready.,Nous sommes presque prêtes.
We're almost there.,Encore un petit effort.
We're almost there.,Nous y sommes presque.
We're almost there.,Nous y sommes bientôt.
We're already late.,Nous sommes déjà en retard.
We're always right.,Nous avons toujours raison.
We're best friends.,Nous sommes les meilleurs amis.
We're both writers.,Nous sommes tous deux écrivains.
We're close enough.,Nous sommes suffisamment proches.
We're conservative.,Nous sommes conservateurs.
We're contributing.,Nous contribuons.
We're disappointed.,Nous sommes déçues.
We're done talking.,Notre entretien est terminé.
We're done talking.,Nous avons fini de parler.
